fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS
26,21.84,2.91E-05,0.00E+00,36.03,0.49,-0.07,4.46,96.78,90.96,4620055.01,6500,Ville-Marie,56918,283.56,234.92,25,10,12272.84,327.0078832,0.765992929,-395150.4215,180544.5378,5.82,514.19
27,17.7,2.95E-05,2.92E-07,33.34,1,0.06,21.54,61.43,5.74,4620174/4620173,9091.3,Le Plateau-Mont-Royal,41599.39,463.75,3735.37,5,5,9936.38,0,26.46814492,-397628.9379,183893.0617,55.69,0
28,1.02,3.78E-05,0.00E+00,37.34,0.75,-0.16,0.94,99.03,69.79,4620594.02/4620290.02,938.3,Rivière-des-Prairies-Pointes-aux-Trembles,47728.35,78.44,2317.83,5,5,1961.59,15.98664315,34.18215856,-395451.8528,194898.3939,29.24,277.8
29,5.84,3.02E-05,0.00E+00,34.74,0.2,-0.13,3.88,83.8,59.62,4620201,7588.5,Rosemont-La-Petite-Patrie,27428,310.64,4140.62,10,5,7233.29,52.376764,15.86865938,-396907.7986,186598.5015,24.18,215.33
30,9.64,3.02E-05,0.00E+00,32.87,0.7,0.25,7.28,23,0,4620605.01/4620605.03,2585.2,Saint-Léonard,38779.17,728.08,4168.85,5,5,4335.5,0,21.50935527,-397288.3746,190484.8593,23,0
31,54.82,2.91E-05,0.00E+00,28.61,0.33,0.24,2.67,31.46,2.85,4620360,1349,Outremont,139132,1085.3,3769.67,5,5,12541.55,190.9093333,4.185000613,-398568.3685,181447.7704,28.61,637.65
32,42.74,2.65E-05,0.00E+00,29.56,0.18,0.17,7.81,22.18,14.37,4620460,1492.1,Beaconsfield,94151,688.44,379.57,10,5,30562.51,87.68154135,3.531188999,-417683.0747,173987.5503,7.81,127.39
33,4.55,2.21E-05,0.00E+00,34.48,0.26,-0.02,42.05,67.04,3.55,4620616/4620618,8757.1,Montréal-Nord,34176.29,5.34,249.46,5,5,7428.73,83.60472259,8.627439843,-401194.8666,191311.2078,63.49,196.81
34,0,3.95E-05,6.78E-21,42.35,0.71,-0.22,0,100,95.2,4620593.01,4880.1,Anjou,39660,164.94,4358.82,15,15,2275.93,254.3034159,0.50394237,-395159.329,191380.7367,4.8,1779.95
35,0.03,2.23E-05,6.78E-21,40.53,0.79,-0.17,0,100.02,96.91,4620402,691.6,Mont-Royal,59971,466.98,5752.99,10,10,16298.63,752.178238,0,-403851.6702,180348.9362,3.11,832.94
36,44.39,2.39E-05,2.54E-06,26.5,0.46,0.42,0,1.14,1.14,4620491,257.9,Saint-Anne-de-Bellevue,86211,1110.19,1789.4,25,25,37108.81,672.4987077,0,-426072.5003,174610.2866,0,2115.14
37,46.27,2.03E-05,1.30E-06,31.18,1.71,0.03,0,58.8,22.76,4620500,122.4,Senneville,70925,121.7,280.36,20,20,38979.27,371.2328356,0,-427614.8611,173543.2627,36.04,469.11
38,20.72,2.65E-05,0.00E+00,31.26,1.47,0.02,2.38,73.09,44.6,4620491,257.9,Saint-Anne-de-Bellevue,86211,273.74,2184.28,20,20,35632.67,275.1604738,0.131250621,-424167.925,174321.0929,28.49,723.97
39,9.22,1.95E-05,0.00E+00,32.81,0.33,-0.04,17.09,56.87,24.01,4620490,3530.8,Saint-Anne-de-Bellevue,40215,169.9,164.07,20,20,39359.16,176.9071576,4.165651187,-427143.5201,172056.9643,32.86,293.25
40,37.11,2.92E-05,0.00E+00,31.05,0.35,0.17,0,3.92,3.92,4620550.02,242.5,L'Île-Bizard-Sainte-Geneviève,60868,1985.49,1313.2,20,20,31807.05,1092.171895,0,-423138.3673,180489.8344,0,1598.37
41,9.96,2.92E-05,0.00E+00,29.94,0.61,0.15,0,21.88,9.01,4620550.02,242.5,L'Île-Bizard-Sainte-Geneviève,60868,1128.06,1304.64,20,20,30609.57,914.1075774,0,-422215.8439,181371.2152,12.87,1438.99
42,22.84,2.75E-05,1.02E-20,33.69,0.46,0.08,17.95,37.46,16.32,4620453.02,744,Pointe-Claire,66088,608.75,3069.88,5,5,28029.09,46.63326025,4.945175846,-417453.6699,177939.7662,21.14,228.4
43,79.52,2.75E-05,0.00E+00,28.56,1.01,0.34,1.01,4.61,3.57,4620520.03,2470.4,Dollard-des-Ormeaux,55225,397.85,1779.11,5,5,22410.37,0,46.30580383,-412401.8649,180502.4627,1.04,0
44,0,2.71E-05,3.39E-21,35.82,0.23,0.03,0,3.46,3.46,4620433,233,Dorval,52476,1116.45,3128.39,30,30,22337.72,2156.078352,0,-409772.459,177501.1861,0,11680.23
45,5.14,2.75E-05,0.00E+00,40.82,0.88,-0.18,0,64.85,50.45,4620433,233,Dorval,52476,683.98,3405.78,30,30,21907.42,2495.269799,0,-409501.394,177838.3737,14.4,9112.93
46,0,2.21E-05,1.02E-20,38.43,0.56,-0.17,0,99.98,97.85,4620610.01,4856.5,Montréal-Nord,32262,310.75,1920.71,15,15,4213.22,720.4500912,0,-398263.4414,193099.4294,2.13,1088.99
47,0,3.96E-05,0.00E+00,40.93,1.13,-0.21,0,99.99,99.99,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,155.3,1115.23,15,10,3044.94,508.859067,0,-391706.616,189511.1808,0,2183.15
48,0,3.05E-05,3.39E-21,39.28,0.25,-0.21,0,100.02,96.1,4620402,691.6,Mont-Royal,59971,176.76,5527.54,25,20,16657.86,757.935271,0,-404340.9462,180271.7465,3.92,2154.46
49,0.03,2.91E-05,0.00E+00,39.72,0.51,-0.28,45.12,99.98,96.1,4620056,5381.4,Ville-Marie,34325,10.64,609.42,10,10,12208.89,325.1472906,1.295590524,-395498.9191,180695.6322,3.88,988.64
50,0,3.78E-05,0.00E+00,40.34,0.73,-0.22,0,99.12,94.97,4620291.03,765.6,Rivière-des-Prairies-Pointes-aux-Trembles,68245,394.47,899.79,30,30,2117.74,703.4328342,0,-391982.7146,198686.6547,4.15,1952.6
