fid,Lat,Long,NO2_mean,LST_mean
124,-395771.8301,192638.8153,3.91E-05,37.31
125,-415295.398,180517.6433,2.74E-05,37.63
126,-399815.0528,187818.1354,3.02E-05,38.56
127,-404904.106,179358.3994,2.10E-05,39.05
128,-396481.1735,181865.6639,2.91E-05,37.26
129,-395489.1471,184908.3084,2.92E-05,36.89
130,-408191.8634,176278.1236,2.25E-05,39.21
131,-397085.5752,176381.4929,3.02E-05,37.81
132,-397811.214,179093.7431,2.91E-05,34.14
133,-402612.9362,184814.3687,3.17E-05,36.5
134,-416908.1158,177289.5672,2.75E-05,36.39
135,-397761.5453,176922.5741,2.86E-05,35.08
136,-391368.7066,189240.6113,3.96E-05,33.78
137,-399815.0528,187818.1354,3.02E-05,38.56
138,-399156.2088,181620.0004,2.91E-05,32.13
139,-421875.7245,175682.9276,2.65E-05,35.66
140,-402604.9446,173979.2872,2.10E-05,35.63
141,-424484.6498,174830.6753,2.65E-05,34.22
142,-394156.809,194543.3671,3.87E-05,37.16
143,-400120.4883,180260.4446,2.17E-05,34.9
144,-397085.5752,176381.4929,3.02E-05,37.81
145,-399378.9143,191391.737,3.02E-05,38.85
146,-395841.9428,190477.6943,3.02E-05,38.98
147,-421773.0665,178201.8714,2.92E-05,33.41
148,-413669.3102,178447.6139,2.75E-05,35.34
149,-423569.4298,174268.0533,2.65E-05,34.02
150,-396615.1329,183081.3382,2.91E-05,35.31
151,-397830.6484,193904.1171,2.21E-05,38.42
152,-398937.3251,177266.9883,2.10E-05,37.31
153,-399937.9909,185059.8695,3.02E-05,36.28
154,-395719.1135,193236.2097,3.91E-05,38.43
155,-418569.9014,176232.8444,2.65E-05,35.75
156,-401795.0138,172222.6841,2.82E-05,36.97
157,-395841.9428,190477.6943,3.02E-05,38.98
158,-421773.0665,178201.8714,2.92E-05,33.41
159,-406994.9613,176172.4041,2.16E-05,37.54
160,-408716.3887,177167.11,2.42E-05,36.26
161,-414802.733,179270.1824,2.75E-05,38.03
162,-394767.3636,183520.4028,2.91E-05,35.66
163,-397339.262,177607.6022,2.91E-05,35.64
164,-402025.1335,184642.0894,3.16E-05,36.78
165,-398710.4022,193500.1016,2.21E-05,37.32
166,-405421.214,173505.6082,2.10E-05,35.08
167,-396323.0924,183657.5335,2.91E-05,35.31
168,-400163.1343,183875.8134,3.02E-05,37.3
169,-391432.7404,192617.5311,3.96E-05,35.2
170,-418619.4942,174311.1834,2.65E-05,35.9
171,-403788.5347,185158.9482,3.17E-05,34.87
172,-399157.3568,193900.7806,2.21E-05,36.14
173,-402185.7386,171896.0518,2.82E-05,37.09
174,-403492.6286,180317.2417,2.23E-05,38.01
175,-412820.9308,178492.9677,2.75E-05,35.75
176,-399300.6617,182716.2227,2.97E-05,34.94
177,-420386.4645,176152.925,2.65E-05,34.89
178,-404235.1612,177373.2566,2.10E-05,36.46
179,-390588.4349,193988.0311,3.96E-05,39.46
180,-408871.2721,178143.8371,2.78E-05,39.17
181,-400647.6779,174288.1157,2.24E-05,42.3
182,-422731.5474,174193.8217,2.65E-05,35.46
183,-406315.7056,182492.7193,3.17E-05,40.35
184,-394451.2675,187104.2996,3.02E-05,31.85
185,-391345.4406,196342.5606,3.95E-05,39.34
186,-401711.9338,185457.2025,3.02E-05,43.6
187,-406326.1877,178280.1567,2.10E-05,41.69
188,-393962.0762,187181.5787,3.10E-05,39.33
189,-402632.8938,172296.596,2.75E-05,41.6
190,-401756.5447,174024.8112,2.10E-05,42.18
191,-397044.8408,185045.4659,3.01E-05,39.31
192,-390359.6712,193847.467,3.96E-05,38.89
193,-402098.9924,183805.8629,3.17E-05,39.54
194,-395187.7952,193791.402,3.95E-05,36.63
195,-399224.2517,194508.748,2.21E-05,38.57
196,-398630.9677,176638.0995,2.11E-05,39.04
197,-407607.5161,177430.2873,2.23E-05,39.67
198,-409730.0527,182072.0765,2.92E-05,39.85
199,-425111.7435,173200.9725,2.08E-05,33.67
200,-391952.6699,188088.0788,3.93E-05,37.44
201,-402567.1316,183967.5759,3.17E-05,39.43
202,-397443.3238,191461.7684,3.02E-05,39.69
203,-409673.7671,181344.7653,2.92E-05,38.94
204,-403190.1826,185106.1176,3.17E-05,38.66
205,-399185.4096,192217.5133,2.44E-05,40.97
206,-395723.9533,179511.6547,2.91E-05,38.46
207,-423632.9752,173551.4286,2.65E-05,36.16
208,-399524.5333,173346.4923,2.82E-05,39.84
209,-418026.9459,181000.1906,2.49E-05,38.83
210,-395208.8805,193552.4413,3.95E-05,38.41
211,-398607.3973,183738.5744,3.02E-05,40.23
212,-402581.2778,185172.7562,3.17E-05,38.32
213,-401644.6805,180756.07,2.10E-05,37.7
214,-393733.2851,187041.0194,3.10E-05,40.14
215,-395060.7557,191131.2354,3.43E-05,40.64
216,-398481.648,193359.5044,2.21E-05,37.84
217,-407681.4526,180687.1585,3.17E-05,39.31
218,-403689.7793,180816.1845,3.17E-05,36.63
219,-399553.1074,175756.4187,2.11E-05,37.16
220,-415267.5433,178107.4599,2.75E-05,38.05
221,-397274.5827,193373.4134,2.46E-05,38.82
222,-414999.8025,179769.1628,2.75E-05,37.89
223,-400501.0549,184146.4113,3.02E-05,34.53
224,-419918.2744,175991.0848,2.65E-05,35.9
225,-400687.2481,180671.5934,2.12E-05,35.22
226,-398160.3377,183337.9774,2.91E-05,36.69
227,-409730.0527,182072.0765,2.92E-05,39.85
228,-402689.3151,173023.7776,2.10E-05,40.52
229,-410233.6672,175014.013,2.25E-05,41.26
230,-424386.1371,174581.1873,2.65E-05,34.47
231,-397379.6037,188084.877,3.02E-05,37.02
232,-417059.5409,176941.8232,2.66E-05,37.66
233,-402323.373,174435.9278,2.10E-05,39.41
234,-400647.6779,174288.1157,2.24E-05,42.3
235,-398896.954,194118.6232,2.21E-05,37.87
236,-401078.3148,184438.1337,3.02E-05,37.76
237,-415517.4952,178009.1913,2.75E-05,38.22
238,-402581.2778,185172.7562,3.17E-05,38.32
239,-400256.9749,174614.7705,2.37E-05,40.1
240,-395946.0189,181096.1861,2.91E-05,34.89
241,-412465.2872,179785.7501,2.75E-05,39.31
242,-399713.1782,190337.5849,3.02E-05,37.67
243,-405217.1024,174450.5589,2.10E-05,38.88
244,-393818.9448,194272.7556,3.96E-05,36.86
245,-427692.167,174031.6284,2.25E-05,31.85
246,-399553.1074,175756.4187,2.11E-05,37.16
247,-396357.7366,180530.5627,2.91E-05,35.51
248,-407452.6512,180546.5585,3.17E-05,39.21
249,-403654.5177,179849.9969,2.23E-05,38.73
