fid,%canopy,NO2_mean,LST_mean,NDVImean,Road%,Imp%,BD,Income,road distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,weightNO2
118,0.26,2.75E-05,36.68,-0.19,2.78,93.78,55.18,83222,303.02,20,20,24597.44,364.6402577,0.087959255,0.68
161,5.26,2.75E-05,38.03,-0.17,18.58,77.91,36.76,83222,458.59,20,20,25086.16,567.9706573,0,0.69
78,25.92,3.11E-05,34.39,0.03,14.38,43.55,21.52,84414.72,174.73,10,10,12345.58,183.1986327,3.651499039,0.38
55,0.85,2.75E-05,39.47,-0.24,0.08,98.92,80.83,84543,136.51,20,20,20211.08,991.2187136,0,0.56
198,0.33,2.92E-05,39.85,-0.19,0,96.27,69.2,84543,346.32,10,10,19323.37,206.7236883,4.551452053,0.56
203,8.54,2.92E-05,38.94,-0.15,0,81.59,61.2,84543,216.29,20,20,19713.11,461.1863088,0,0.58
227,0.33,2.92E-05,39.85,-0.19,0,96.27,69.2,84543,346.32,10,10,19323.37,206.7236883,4.551452053,0.56
123,3.64,3.17E-05,37.09,-0.13,5.68,77.19,51.41,84543,949.18,5,5,18594.86,34.33735497,17.53445422,0.59
19,5.88,2.65E-05,34.29,-0.12,0,84.87,58.26,85722,270.44,20,20,34649.11,778.7121224,0,0.92
149,0.68,2.65E-05,34.02,-0.03,8.29,94.14,41.24,85722,73.75,20,20,35157.22,868.2852727,0,0.93
182,0.35,2.65E-05,35.46,-0.23,0,98.98,94.22,85722,496.46,20,20,34498.16,640.030983,0,0.91
207,0.09,2.65E-05,36.16,-0.13,0,99.99,63.14,85722,203.41,25,25,35604.6,266.5064813,0.553864154,0.94
199,6.91,2.08E-05,33.67,-0.18,0,100.01,68.89,85915.56,180.47,20,20,37031.86,738.9918127,0,0.77
36,44.39,2.39E-05,26.5,0.42,0,1.14,1.14,86211,1110.19,25,25,37108.81,672.4987077,0,0.89
38,20.72,2.65E-05,31.26,0.02,2.38,73.09,44.6,86211,273.74,20,20,35632.67,275.1604738,0.131250621,0.94
141,0.39,2.65E-05,34.22,-0.1,3.59,81.78,48.78,86211,873.61,20,20,35632.81,38.936239,1.286393196,0.94
230,0.1,2.65E-05,34.47,-0.19,0.07,93.62,70.58,86211,610.73,20,20,35679.54,153.9026608,1.881258731,0.95
79,22.4,2.10E-05,34.63,0.02,20.37,47.18,22.2,88371,791.57,15,15,16857.23,9.400823292,13.43776084,0.35
101,9.38,2.74E-05,34.36,0.01,19.95,39.2,17.29,88479.37,582.54,20,20,26808.04,73.74132569,9.727260165,0.74
193,0.27,3.17E-05,39.54,-0.23,0,99.87,66.65,90875,145.11,10,10,12500.44,17.49596593,1.900765969,0.40
32,42.74,2.65E-05,29.56,0.17,7.81,22.18,14.37,94151,688.44,10,5,30562.51,87.68154135,3.531188999,0.81
91,23.13,2.65E-05,32.31,0.09,18.45,43.24,0.71,94151,2.31,20,20,32932.11,54.97475291,1.540653094,0.87
170,0.82,2.65E-05,35.9,-0.25,0.19,98.03,33.45,94151,97.8,20,20,31092.46,339.5259604,0,0.82
103,13.29,2.65E-05,31.83,0.14,10.31,21.53,10.88,105679,481.03,20,5,33495.04,0,6.765028566,0.89
139,3.71,2.65E-05,35.66,-0.18,0,92.75,48.66,105679,476.27,20,20,32967.59,269.1002991,0.669768901,0.87
98,40.21,2.65E-05,31.54,0.11,16.03,35.16,18.32,111247,219.71,20,20,33218.14,235.4307766,1.445822149,0.88
31,54.82,2.91E-05,28.61,0.24,2.67,31.46,2.85,139132,1085.3,5,5,12541.55,190.9093333,4.185000613,0.37
104,44.3,2.91E-05,31.05,0.12,10.48,28.27,14.43,139132,838.72,5,5,12252.48,134.7934708,6.29376327,0.36
138,9.63,2.91E-05,32.13,-0.11,6.9,95.93,45.57,139132,1268.27,5,5,12662.59,0,28.30244973,0.37
87,0.37,2.11E-05,35.35,-0.2,0.67,100,0,NA,0.73,15,15,16951.76,400.2374528,0,0.36
89,1.43,2.82E-05,31.9,0.16,11.83,18.12,0,NA,130.75,15,15,19239.72,121.58267,6.366840223,0.54
21,0,2.97E-05,34.39,-0.26,0,100.03,80.57,NA,126.69,5,5,6349.31,89.13795862,3.749793619,0.19
184,0.12,3.02E-05,31.85,0.07,0,99.98,91.22,NA,156.06,10,10,5762.29,118.7121601,19.65904294,0.17
223,0.7,3.02E-05,34.53,-0.19,0,99.05,73.07,NA,467.79,5,5,11256.88,0,34.25255684,0.34
52,0.03,3.09E-05,37.64,-0.19,0,100.02,89.54,NA,349.09,5,5,5478.41,359.6104426,0,0.17
53,0,3.10E-05,39.33,-0.15,0,99.99,99.99,NA,386.79,5,5,5547.1,246.3313405,0.46706373,0.17
188,0,3.10E-05,39.33,-0.15,0,99.99,99.99,NA,386.79,10,10,5547.1,246.3313405,0.46706373,0.17
214,0,3.10E-05,40.14,-0.2,0,100.01,75.12,NA,120.36,10,10,5624.3,97.12055137,3.53516344,0.17
201,2.29,3.17E-05,39.43,-0.17,5.07,99.93,68.91,NA,88.76,NA,NA,12686.12,357.7727581,0,0.40
