fid,%canopy,NO2_mean,LST_mean,NDVImean,Road%,Imp%,BD,Income,road distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,weightNO2
173,3.77,2.82E-05,37.09,-0.17,19.35,94.68,29.28,36097.47,777.42,15,15,22728.28,208.4552764,4.710230576,0.64
204,0.02,3.17E-05,38.66,-0.18,11.07,100.01,61.45,36187,502.63,5,5,12320.52,103.4768788,6.695965854,0.39
156,10.59,2.82E-05,36.97,-0.1,16.14,77.38,35.07,36204,1096.1,15,15,22272.74,472.5732434,1.18815215,0.63
219,0,2.11E-05,37.16,-0.18,0,99.98,79.54,36328,594.27,15,15,18153.07,7.363545544,28.47814479,0.38
246,0,2.11E-05,37.16,-0.18,0,99.98,79.54,36328,594.27,15,15,18153.07,7.363545544,28.47814479,0.38
77,7.27,3.02E-05,35.19,-0.06,14.97,54.46,24.55,37139,586.74,10,10,4422,165.9201519,2.795960834,0.13
171,16.44,3.17E-05,34.87,-0.03,16.12,62.05,31.44,37474.5,508.75,5,5,12736.12,134.2589905,6.372525578,0.40
209,4.71,2.49E-05,38.83,-0.16,0,88.27,61.35,37567,361.5,10,10,26975.02,496.6349688,0.429028918,0.67
60,0,3.96E-05,37.67,-0.22,8.36,99.99,29.19,37638.25,1167.81,10,10,0,392.5703555,0,0.00
83,72.12,3.78E-05,29.64,0.25,5.02,11.81,6.6,37647,318.9,NA,5,2309.01,71.11513857,1.952097803,0.09
112,0.17,3.86E-05,39.09,-0.18,0,94,58.64,37647,591.29,20,15,1086.23,314.7551717,0,0.04
185,0,3.95E-05,39.34,-0.2,0,99.95,89.94,37647,443.64,10,10,205.75,808.7472991,0,0.01
231,4.07,3.02E-05,37.02,-0.21,6.27,96.37,73.98,37809,372.14,5,5,6248.24,40.1591555,9.433779468,0.19
233,0.01,2.10E-05,39.41,-0.21,2.41,99.61,86.71,37915,93.14,20,10,20493.11,40.00142822,0.688564278,0.43
23,0,3.96E-05,39.89,-0.21,0,100.01,85.99,38538,176.45,15,15,2445.09,157.6964975,2.153212375,0.10
228,0.65,2.10E-05,40.52,-0.16,8.89,91.18,71.3,38617,386.17,15,15,21919.43,300.2610323,0,0.46
216,0.06,2.21E-05,37.84,-0.18,0.22,99.96,78.39,38684,644.99,15,15,4422.25,517.6267288,0.149807774,0.10
54,0,3.26E-05,40.45,-0.23,0,100.01,84.33,38773,112.98,15,10,4218.58,489.7838614,0,0.14
85,10.31,3.26E-05,34.94,-0.09,16.15,76.39,9.74,38773,5.52,15,10,4469.64,676.2728631,0,0.15
110,10.31,3.26E-05,34.94,-0.09,16.15,76.39,9.74,38773,5.52,15,10,4469.64,676.2728631,0,0.15
20,0,3.93E-05,39.12,-0.19,0,100.01,99.83,38773,313.34,20,10,4259.23,496.8074711,0,0.17
200,0.42,3.93E-05,37.44,-0.16,0,100,65.3,38773,212.63,25,10,4423.72,538.318245,0,0.17
117,4.79,3.95E-05,36.07,-0.14,11.71,89.87,55.85,38773,260.07,15,5,3676.26,146.6626379,2.276224811,0.15
47,0,3.96E-05,40.93,-0.21,0,99.99,99.99,38773,155.3,15,10,3044.94,508.859067,0,0.12
136,1.98,3.96E-05,33.78,-0.18,0,98.61,47.89,38773,242.84,15,10,3387.38,425.3407593,0,0.13
30,9.64,3.02E-05,32.87,0.25,7.28,23,0,38779.17,728.08,5,5,4335.5,0,21.50935527,0.13
116,0.53,3.78E-05,38.33,-0.2,0,99.99,58.56,38802,149.28,10,10,1535.92,292.1435089,0.097352516,0.06
142,0,3.87E-05,37.16,-0.19,0,99.98,47.77,38802,728.29,10,10,710.29,534.9761571,0,0.03
24,0,3.96E-05,34.92,-0.15,0,99.99,10.86,38802,1449.98,20,20,0,1526.551918,0,0.00
169,1.72,3.96E-05,35.2,-0.2,0,99.99,34.75,38802,2562.95,20,15,438.18,535.4114803,0,0.02
179,0,3.96E-05,39.46,-0.22,0,100.01,94.64,38802,2440.68,15,15,397.03,1273.330523,0,0.02
192,0,3.96E-05,38.89,-0.21,0,99.98,65.64,38802,2708.45,20,20,488.69,1390.617456,0,0.02
244,1.36,3.96E-05,36.86,-0.12,0,100,80.02,38802,296.11,10,10,277.7,744.6468556,0,0.01
236,1.85,3.02E-05,37.76,-0.19,0.04,99.42,87.95,38907,477.77,5,5,11366.03,26.54471705,28.01765925,0.34
164,8.28,3.16E-05,36.78,-0.12,15.4,68.42,36.15,38918,113.16,10,10,11822.4,278.1781841,0.165383646,0.37
133,0.07,3.17E-05,36.5,-0.2,28.93,92.19,50.34,38918,498.94,10,10,12103.67,346.1082879,0,0.38
212,2.38,3.17E-05,38.32,-0.19,2.28,100,79.44,38918,832.8,10,10,11829.98,294.7230574,0.001145315,0.38
238,2.38,3.17E-05,38.32,-0.19,2.28,100,79.44,38918,832.8,10,10,11829.98,294.7230574,0.001145315,0.38
113,8.79,2.91E-05,32.24,-0.11,0,77.07,55.47,38921,892.76,10,10,12788.77,28.77679009,16.97069537,0.37
151,0.24,2.21E-05,38.42,-0.18,17.68,100,44.81,38960,87.81,15,15,3803.55,209.165344,2.087918263,0.08
181,1.07,2.24E-05,42.3,-0.19,0,99.97,89.27,39102,1142.64,20,20,19923.53,677.6069656,0,0.45
234,1.07,2.24E-05,42.3,-0.19,0,99.97,89.27,39102,1142.64,20,20,19923.53,677.6069656,0,0.45
239,0.4,2.37E-05,40.1,-0.21,0,100.02,84.55,39102,1021.05,15,15,19473.35,488.7710633,0,0.46
73,6.59,2.21E-05,36.62,-0.06,24.47,54.6,22.6,39551.36,353.78,15,15,5644.16,84.60465091,5.602668569,0.13
17,11.84,3.02E-05,35.45,-0.01,21.32,41.73,14.55,39607.88,246.94,10,5,7747.37,39.03179376,3.956612843,0.23
215,0.26,3.43E-05,40.64,-0.23,0,100.01,76.33,39660,402.16,10,10,2434.07,379.9793792,0,0.08
34,0,3.95E-05,42.35,-0.22,0,100,95.2,39660,164.94,15,15,2275.93,254.3034159,0.50394237,0.09
67,0.4,3.96E-05,34.61,-0.09,0,94.02,27.83,39660,363.24,5,5,2420.99,64.28918085,2.947377149,0.10
102,0.26,3.02E-05,35.63,-0.2,0,98.59,11.67,39837,723.09,5,5,5921.41,404.3497826,0,0.18
121,8.73,2.91E-05,37.31,-0.13,14.33,81.69,56.08,39902,109.52,10,10,11135.09,266.3432023,2.718766144,0.32
247,2.14,2.91E-05,35.51,-0.23,7.5,97.8,86.14,39946,297.49,15,10,12606.46,257.5363231,1.057591376,0.37
39,9.22,1.95E-05,32.81,-0.04,17.09,56.87,24.01,40215,169.9,20,20,39359.16,176.9071576,4.165651187,0.77
145,0.06,3.02E-05,38.85,-0.18,10.09,100.01,49.12,40263,479.1,15,15,5678.22,94.8221576,5.751559719,0.17
94,9.29,3.17E-05,34.38,-0.07,35.71,72.91,15.46,40892,41.85,10,10,11359.74,41.96483037,25.66121948,0.36
140,1.16,2.10E-05,35.63,-0.14,11.39,77.34,45.42,40953.6,340.8,15,15,21027.9,193.6307212,0.107201611,0.44
146,0,3.02E-05,38.98,-0.2,0.96,98.6,39.94,41242,305.17,10,10,3404.02,271.083321,0.610685986,0.10
157,0,3.02E-05,38.98,-0.2,0.96,98.6,39.94,41242,305.17,10,10,3404.02,271.083321,0.610685986,0.10
190,0.58,2.10E-05,42.18,-0.2,0,100,93.24,41280,752.05,20,20,20612.96,231.1061837,0.513331273,0.43
27,17.7,2.95E-05,33.34,0.06,21.54,61.43,5.74,41599.39,463.75,5,5,9936.38,0,26.46814492,0.29
59,23.22,2.91E-05,35.31,-0.04,24.55,74.21,36.47,42186,791.49,5,5,9620.05,120.0985614,8.731483313,0.28
167,23.22,2.91E-05,35.31,-0.04,24.55,74.21,36.47,42186,791.49,5,5,9620.05,120.0985614,8.731483313,0.28
122,0.25,2.93E-05,39.67,-0.2,0,99.97,51.88,42437,740.76,15,15,4335.88,351.8729215,0.088189607,0.13
119,4.39,2.82E-05,39.84,-0.18,0.07,87.96,59.66,42456,663.78,15,15,20409.89,125.7692896,18.29465363,0.58
208,4.39,2.82E-05,39.84,-0.18,0.07,87.96,59.66,42456,663.78,15,15,20409.89,125.7692896,18.29465363,0.58
107,47.14,3.17E-05,32.98,0.1,13.41,32.88,14.34,43144,313.44,5,5,15486.05,0,13.13945733,0.49
3,0,2.10E-05,35.97,-0.04,0,100.01,1.7,44361,1498.47,15,15,18684,665.0789906,0,0.39
4,13.56,2.10E-05,35.39,0,5.64,42.8,34.23,44361,1855.57,15,15,18224.59,319.9732411,0.37932801,0.38
5,11.98,2.10E-05,34.63,0,11.64,49.29,30.66,44361,1827.18,15,15,17899.22,100.3034834,2.023312512,0.38
92,19.98,2.10E-05,33.45,0.03,18.98,42.03,17.42,44661,1254.67,15,15,18777.9,51.44830415,13.76303838,0.39
12,16.73,2.83E-05,32.82,0.01,0.84,76.86,68.21,44718,978.83,10,5,13083.71,0,8.489099974,0.37
