fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%
33,4.55,2.21E-05,0.00E+00,34.48,0.26,-0.02,42.05,67.04,3.55,4620616/4620618,Montréal-Nord,34176.29,5.34,249.46,5,5,7428.73,83.60472259,8.627439843
34,0,3.95E-05,6.78E-21,42.35,0.71,-0.22,0,100,95.2,4620593.01,Anjou,39660,164.94,4358.82,15,15,2275.93,254.3034159,0.50394237
35,0.03,2.23E-05,6.78E-21,40.53,0.79,-0.17,0,100.02,96.91,4620402,Mont-Royal,59971,466.98,5752.99,10,10,16298.63,752.178238,0
36,44.39,2.39E-05,2.54E-06,26.5,0.46,0.42,0,1.14,1.14,4620491,Saint-Anne-de-Bellevue,86211,1110.19,1789.4,25,25,37108.81,672.4987077,0
37,46.27,2.03E-05,1.30E-06,31.18,1.71,0.03,0,58.8,22.76,4620500,Senneville,70925,121.7,280.36,20,20,38979.27,371.2328356,0
38,20.72,2.65E-05,0.00E+00,31.26,1.47,0.02,2.38,73.09,44.6,4620491,Saint-Anne-de-Bellevue,86211,273.74,2184.28,20,20,35632.67,275.1604738,0.131250621
39,9.22,1.95E-05,0.00E+00,32.81,0.33,-0.04,17.09,56.87,24.01,4620490,Saint-Anne-de-Bellevue,40215,169.9,164.07,20,20,39359.16,176.9071576,4.165651187
40,37.11,2.92E-05,0.00E+00,31.05,0.35,0.17,0,3.92,3.92,4620550.02,L'Île-Bizard-Sainte-Geneviève,60868,1985.49,1313.2,20,20,31807.05,1092.171895,0
41,9.96,2.92E-05,0.00E+00,29.94,0.61,0.15,0,21.88,9.01,4620550.02,L'Île-Bizard-Sainte-Geneviève,60868,1128.06,1304.64,20,20,30609.57,914.1075774,0
42,22.84,2.75E-05,1.02E-20,33.69,0.46,0.08,17.95,37.46,16.32,4620453.02,Pointe-Claire,66088,608.75,3069.88,5,5,28029.09,46.63326025,4.945175846
43,79.52,2.75E-05,0.00E+00,28.56,1.01,0.34,1.01,4.61,3.57,4620520.03,Dollard-des-Ormeaux,55225,397.85,1779.11,5,5,22410.37,0,46.30580383
44,0,2.71E-05,3.39E-21,35.82,0.23,0.03,0,3.46,3.46,4620433,Dorval,52476,1116.45,3128.39,30,30,22337.72,2156.078352,0
45,5.14,2.75E-05,0.00E+00,40.82,0.88,-0.18,0,64.85,50.45,4620433,Dorval,52476,683.98,3405.78,30,30,21907.42,2495.269799,0
46,0,2.21E-05,1.02E-20,38.43,0.56,-0.17,0,99.98,97.85,4620610.01,Montréal-Nord,32262,310.75,1920.71,15,15,4213.22,720.4500912,0
47,0,3.96E-05,0.00E+00,40.93,1.13,-0.21,0,99.99,99.99,4620009,Mercier-Hochelaga-Maisonneuve,38773,155.3,1115.23,15,10,3044.94,508.859067,0
48,0,3.05E-05,3.39E-21,39.28,0.25,-0.21,0,100.02,96.1,4620402,Mont-Royal,59971,176.76,5527.54,25,20,16657.86,757.935271,0
49,0.03,2.91E-05,0.00E+00,39.72,0.51,-0.28,45.12,99.98,96.1,4620056,Ville-Marie,34325,10.64,609.42,10,10,12208.89,325.1472906,1.295590524
50,0,3.78E-05,0.00E+00,40.34,0.73,-0.22,0,99.12,94.97,4620291.03,Rivière-des-Prairies-Pointes-aux-Trembles,68245,394.47,899.79,30,30,2117.74,703.4328342,0
51,0,3.38E-05,0.00E+00,38.35,1.25,-0.16,0,99.34,99.24,4620580.02,Rivière-des-Prairies-Pointes-aux-Trembles,48315,310.33,640.43,NA,20,4832.09,238.7726286,1.146475583
52,0.03,3.09E-05,3.17E-07,37.64,0.69,-0.19,0,100.02,89.54,4620014.02,Mercier-Hochelaga-Maisonneuve,NA,349.09,2077.24,5,5,5478.41,359.6104426,0
53,0,3.10E-05,0.00E+00,39.33,0.95,-0.15,0,99.99,99.99,4620014.02,Mercier-Hochelaga-Maisonneuve,NA,386.79,1809.02,5,5,5547.1,246.3313405,0.46706373
54,0,3.26E-05,1.36E-20,40.45,0.59,-0.23,0,100.01,84.33,4620009,Mercier-Hochelaga-Maisonneuve,38773,112.98,356.83,15,10,4218.58,489.7838614,0
55,0.85,2.75E-05,1.36E-20,39.47,0.48,-0.24,0.08,98.92,80.83,4620415.05,Saint-Laurent,84543,136.51,1897.67,20,20,20211.08,991.2187136,0
56,0,3.17E-05,0.00E+00,41.32,0.39,-0.17,0,100.01,98.73,4620415.06,Saint-Laurent,76204,185.22,3769.84,10,10,18052.11,272.8744038,0.420787049
57,0,3.17E-05,0.00E+00,40.98,0.52,-0.19,0,99.99,95.27,4620415.06,Saint-Laurent,76204,115.63,4327.19,25,10,18529.35,943.8544886,0
58,9.8,3.02E-05,0.00E+00,35.56,0.18,-0.05,17.91,50.53,28.4,4620605.03,Saint-Léonard,33633,1242.75,3728.06,15,15,4103.66,69.280481,11.20719313
59,23.22,2.91E-05,0.00E+00,35.31,0.24,-0.04,24.55,74.21,36.47,4620147,Le Plateau-Mont-Royal,42186,791.49,2415.8,5,5,9620.05,120.0985614,8.731483313
60,0,3.96E-05,0.00E+00,37.67,0.25,-0.22,8.36,99.99,29.19,4620585.02/4620584,Rivière-des-Prairies-Pointes-aux-Trembles,37638.25,1167.81,2033.23,10,10,0,392.5703555,0
61,12.65,3.15E-05,6.78E-21,35.53,0.22,-0.1,29.87,71.94,25.46,4620311,Verdun,32291,781.83,567.92,15,15,18024.86,518.2900129,0.137667833
62,7.68,2.75E-05,0.00E+00,36.92,0.6,-0.14,10.26,80.13,25.82,4620453.02/4620453.01,Pointe-Claire,65941.42,46.86,2317.46,15,15,26370.31,41.5882269,5.114459638
63,32.73,2.10E-05,0.00E+00,35.36,0.41,0.02,9.36,65.9,25.6,4620340,Montréal-Ouest,79279,232.05,2969.41,15,15,20049.27,454.85704,0.279915437
64,14.39,2.50E-05,2.52E-08,35.23,0.47,-0.07,0,69.87,27.64,4620513.01,Pierrefonds-Roxborro,50651,90.92,505.82,20,20,24250.84,29.48131587,3.146142472
65,23.36,2.97E-05,2.41E-07,34.94,0.14,-0.06,27.03,69.16,29.13,4620365,Outremont,50895,469.68,4876.34,10,5,11793.29,149.2556178,3.640741105
66,13.97,2.10E-05,0.00E+00,36.2,0.54,-0.13,14.71,75.37,41.49,4620352,Westmount,57358,608.87,3430.53,15,15,15866.81,244.8373243,1.078662756
67,0.4,3.96E-05,0.00E+00,34.61,0.17,-0.09,0,94.02,27.83,4620593.01,Anjou,39660,363.24,3790.93,5,5,2420.99,64.28918085,2.947377149
68,15.41,2.10E-05,0.00E+00,36.46,0.36,-0.08,0.3,74.96,29.3,4620383.01,Côte-Saint-Luc,65187,2135.63,4207.31,15,15,18965.72,485.3412276,1.98E-07
69,28.67,2.91E-05,0.00E+00,33.64,0.27,0.02,20.14,49.91,24.63,4620366,Outremont,67227,737.03,4916.13,10,5,12061.53,253.0422602,1.13753121
70,1.42,3.78E-05,0.00E+00,36.06,0.2,-0.05,12.04,38.52,22.09,4620290.07,Rivière-des-Prairies-Pointes-aux-Trembles,47472,939.26,1222.94,10,5,2975.58,15.8799959,2.885753926
71,4.89,2.10E-05,0.00E+00,33.31,0.14,-0.08,3.44,56.82,22.42,4620382.01/4620383.02,Côte-Saint-Luc,58729.23,2109.89,4949.51,15,15,18157.45,94.65699027,6.801107707
72,1.91,2.25E-05,3.39E-21,30.48,0.44,0.1,0,22.24,22.24,4620500,Senneville,70925,697.32,689.58,20,20,38527.07,1320.112,0
73,6.59,2.21E-05,6.78E-21,36.62,0.85,-0.06,24.47,54.6,22.6,4620611.02/4620611.01,Montréal-Nord,39551.36,353.78,1678.07,15,15,5644.16,84.60465091,5.602668569
74,11.12,2.24E-05,0.00E+00,34.56,0.4,-0.06,12.51,52.74,24.52,4620396,Lachine,50059,78.47,402.54,20,20,23095.61,265.318696,1.424081072
75,37.75,2.10E-05,0.00E+00,33.12,0.13,0.09,9.13,33.62,19.68,4620340,Montréal-Ouest,79279,964.44,2886.22,15,15,20009.41,191.2909181,3.076088614
76,14.12,2.91E-05,0.00E+00,35,0.53,-0.06,7.38,68.09,20.1,4620060/4620059,Ville-Marie,19783.22,332.06,1263.84,10,5,11334.39,21.20174865,4.139200254
77,7.27,3.02E-05,0.00E+00,35.19,0.17,-0.06,14.97,54.46,24.55,4620600.03,Saint-Léonard,37139,586.74,4939.04,10,10,4422,165.9201519,2.795960834
78,25.92,3.11E-05,0.00E+00,34.39,0.23,0.03,14.38,43.55,21.52,4620404/4620400,Mont-Royal,84414.72,174.73,4219.35,10,10,12345.58,183.1986327,3.651499039
79,22.4,2.10E-05,0.00E+00,34.63,0.09,0.02,20.37,47.18,22.2,4620370,Hampstead,88371,791.57,6171.91,15,15,16857.23,9.400823292,13.43776084
80,20.05,2.91E-05,0.00E+00,34.15,0.39,0.01,18.62,99.99,22.32,4620187.03/4620187.04/4620187.01,Rosemont-La-Petite-Patrie,45600.18,303.93,2083.18,5,5,7386.66,123.289345,7.830809521
81,66.45,2.70E-05,6.78E-21,29.97,0.4,0.28,0.91,47.6,7.67,4620452,Pointe-Claire,52307,616.85,1681.17,20,20,28968.58,207.8242307,2.088111847
82,15.73,2.10E-05,0.00E+00,33.83,0.19,0.14,8.2,45.07,8.63,4620340,Montréal-Ouest,79279,493.68,3091.14,15,15,19874.83,371.2936952,0.541734765
83,72.12,3.78E-05,0.00E+00,29.64,0.93,0.25,5.02,11.81,6.6,4620585.02,Rivière-des-Prairies-Pointes-aux-Trembles,37647,318.9,1776.7,NA,5,2309.01,71.11513857,1.952097803
84,40.69,2.91E-05,3.39E-21,32.34,0.85,0.03,1.34,32.92,16.23,4620352,Westmount,57358,503.81,3261.45,5,5,15567.59,57.90519292,7.863769156
85,10.31,3.26E-05,2.03E-20,34.94,0.15,-0.09,16.15,76.39,9.74,4620009,Mercier-Hochelaga-Maisonneuve,38773,5.52,447.95,15,10,4469.64,676.2728631,0
86,99.36,2.28E-05,0.00E+00,24.96,0.13,0.42,0,0,0,4620500,Senneville,70925,1058.65,649.55,20,20,38424.75,1445.434126,0
87,0.37,2.11E-05,5.40E-08,35.35,0.09,-0.2,0.67,100,0,4620094.02,Le Sud-Ouest,NA,0.73,3119.87,15,15,16951.76,400.2374528,0
88,8.77,3.02E-05,0.00E+00,35.72,1.1,-0.01,0,50.55,2.58,4620594.02,Anjou,47581,785.4,4017.22,5,5,2997.68,0,17.62650049
89,1.43,2.82E-05,0.00E+00,31.9,0.79,0.16,11.83,18.12,0,4620315,Verdun,NA,130.75,1124.96,15,15,19239.72,121.58267,6.366840223
90,40.96,2.75E-05,0.00E+00,35.48,0.58,-0.14,0,97.9,0.23,4620433,Dorval,52476,131.53,2736.4,10,10,23129.81,771.4021201,0
91,23.13,2.65E-05,0.00E+00,32.31,0.3,0.09,18.45,43.24,0.71,4620460,Beaconsfield,94151,2.31,952.18,20,20,32932.11,54.97475291,1.540653094
92,19.98,2.10E-05,0.00E+00,33.45,0.46,0.03,18.98,42.03,17.42,4620100.02,Côte-des-Neiges-Nôtre-Dame-de-Grâce,44661,1254.67,4119.36,15,15,18777.9,51.44830415,13.76303838
93,4.26,2.65E-05,0.00E+00,35.56,0.21,-0.18,6.68,95.42,18.82,4620470.01,Kirkland,69796,121.54,2376.69,20,20,29467.52,509.5183067,0
94,9.29,3.17E-05,6.78E-21,34.38,0.32,-0.07,35.71,72.91,15.46,4620279,Ahuntsic-Cartierville,40892,41.85,438.06,10,10,11359.74,41.96483037,25.66121948
