fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%
146,0,3.02E-05,0.00E+00,38.98,0.41,-0.2,0.96,98.6,39.94,4620600.01,Saint-Léonard,41242,305.17,5032.12,10,10,3404.02,271.083321,0.610685986
147,1.44,2.92E-05,3.39E-21,33.41,0.86,-0.11,0,99.95,39.23,4620515.01,Pierrefonds-Roxborro,73841,1379.21,113.54,20,20,31596.84,17.28818448,6.084268319
148,3.61,2.75E-05,0.00E+00,35.34,0.22,-0.11,16.22,63.32,41.14,4620453.02,Pointe-Claire,66088,38.94,2778.36,20,20,24646.79,903.3823717,0
149,0.68,2.65E-05,0.00E+00,34.02,0.71,-0.03,8.29,94.14,41.24,4620480,Baie-d'Urfé,85722,73.75,1991.8,20,20,35157.22,868.2852727,0
150,27.8,2.91E-05,0.00E+00,35.31,0.28,-0.01,18.2,70.35,40.2,4620141,Le Plateau-Mont-Royal,48055,446.32,2537.02,5,5,10261.93,113.6371832,8.063070547
151,0.24,2.21E-05,0.00E+00,38.42,0.35,-0.18,17.68,100,44.81,4620290.05,Rivière-des-Prairies-Pointes-aux-Trembles,38960,87.81,1523.9,15,15,3803.55,209.165344,2.087918263
152,0.01,2.10E-05,0.00E+00,37.31,0.7,-0.12,9.97,76.66,41.47,4620094.01,Côte-des-Neiges-Nôtre-Dame-de-Grâce,30307,60.93,3226.68,15,15,16522.09,437.3283617,0
153,11.3,3.02E-05,0.00E+00,36.28,0.32,-0.1,24.1,70.37,39.81,4620233/4620234,Villeray-Saint-Michel-Parc-Extension,31477.67,139.29,4260.81,10,10,10185.74,427.8196307,0.599688627
154,2.87,3.91E-05,1.36E-20,38.43,0.52,-0.09,9.21,100,43.01,4620594.02,Anjou,47581,860.24,3363.9,15,15,1665.73,1042.256088,0
155,5.69,2.65E-05,0.00E+00,35.75,0.48,-0.11,13.64,78.02,40.09,4620470.01,Kirkland,69796,12.71,2284.13,20,20,29911.87,851.0872142,0
156,10.59,2.82E-05,0.00E+00,36.97,0.17,-0.1,16.14,77.38,35.07,4620324.02,LaSalle,36204,1096.1,984.02,15,15,22272.74,472.5732434,1.18815215
157,0,3.02E-05,0.00E+00,38.98,0.41,-0.2,0.96,98.6,39.94,4620600.01,Saint-Léonard,41242,305.17,5032.12,10,10,3404.02,271.083321,0.610685986
158,1.44,2.92E-05,3.39E-21,33.41,0.86,-0.11,0,99.95,39.23,4620515.01,Pierrefonds-Roxborro,73841,1379.21,113.54,20,20,31596.84,17.28818448,6.084268319
159,0.59,2.16E-05,0.00E+00,37.54,0.42,-0.18,3.46,98,39.92,4620395.01,Lachine,23621,408.59,2374.38,30,30,21525.84,1289.392026,0
160,0,2.42E-05,0.00E+00,36.26,0.62,-0.17,0,100,37.89,4620433,Dorval,52476,323.59,2712.18,30,30,21854.53,2002.648369,0
161,5.26,2.75E-05,0.00E+00,38.03,0.45,-0.17,18.58,77.91,36.76,4620521.07,Dollard-des-Ormeaux,83222,458.59,3335.1,20,20,25086.16,567.9706573,0
162,20.86,2.91E-05,0.00E+00,35.66,0.13,-0.07,18.52,67.33,35.22,4620037,Ville-Marie,27816,434.24,885.81,10,10,9290.94,241.5201842,2.046466606
163,18.62,2.91E-05,0.00E+00,35.64,0.67,-0.08,2.25,91.11,38.84,4620079,Le Sud-Ouest,35038,486.28,1742.2,15,5,15688.4,0,4.943668761
164,8.28,3.16E-05,6.78E-21,36.78,0.22,-0.12,15.4,68.42,36.15,4620267,Ahuntsic-Cartierville,38918,113.16,2865.22,10,10,11822.4,278.1781841,0.165383646
165,8.94,2.21E-05,0.00E+00,37.32,0.72,-0.11,30.06,97.63,35.27,4620610.05/4620610.06,Montréal-Nord,34865.21,793.45,1327.93,15,15,4652.56,464.3466152,0.92473042
166,13.82,2.10E-05,2.92E-08,35.08,0.51,-0.06,12.24,56.41,29.72,4620392,Lachine,32239,985.67,171.85,20,20,22850.57,84.71663057,9.389046231
167,23.22,2.91E-05,0.00E+00,35.31,0.24,-0.04,24.55,74.21,36.47,4620147,Le Plateau-Mont-Royal,42186,791.49,2415.8,5,5,9620.05,120.0985614,8.731483313
168,5.58,3.02E-05,0.00E+00,37.3,0.17,-0.06,15.08,98.74,31.42,4620220,Villeray-Saint-Michel-Parc-Extension,25603,38.75,4860.07,10,10,11293.69,155.1490315,1.222741983
169,1.72,3.96E-05,0.00E+00,35.2,1.03,-0.2,0,99.99,34.75,4620570,Montréal-Est,38802,2562.95,995.44,20,15,438.18,535.4114803,0
170,0.82,2.65E-05,0.00E+00,35.9,0.79,-0.25,0.19,98.03,33.45,4620460,Beaconsfield,94151,97.8,404.12,20,20,31092.46,339.5259604,0
171,16.44,3.17E-05,0.00E+00,34.87,0.18,-0.03,16.12,62.05,31.44,4620269/4620280,Ahuntsic-Cartierville,37474.5,508.75,1214.51,5,5,12736.12,134.2589905,6.372525578
172,6.5,2.21E-05,0.00E+00,36.14,0.59,-0.1,21.29,70.03,34.36,4620610.04/4620610.07,Montréal-Nord,29574.42,953.46,729.68,20,15,5124.14,0,1.836861518
173,3.77,2.82E-05,0.00E+00,37.09,0.12,-0.17,19.35,94.68,29.28,4620324.02/4620324.01,LaSalle,36097.47,777.42,714.37,15,15,22728.28,208.4552764,4.710230576
174,5.43,2.23E-05,6.78E-21,38.01,0.67,-0.1,8.5,96.34,32.18,4620402,Mont-Royal,59971,231.72,5942.61,15,10,16111.17,435.1922314,0
175,10.68,2.75E-05,0.00E+00,35.75,0.67,-0.07,10.48,64.99,31.21,4620433,Dorval,52476,685.15,2983.3,25,25,23949.09,1300.695072,0
176,23.36,2.97E-05,2.41E-07,34.94,0.14,-0.06,27.03,69.16,29.13,4620365,Outremont,50895,469.68,4876.34,10,5,11793.29,149.2556178,3.640741105
177,2.05,2.65E-05,0.00E+00,34.89,0.56,-0.02,8.95,44.33,29.71,4620470.04,Kirkland,78071,198.41,2525.06,20,20,31461.34,413.2774995,0
178,15.41,2.10E-05,0.00E+00,36.46,0.36,-0.08,0.3,74.96,29.3,4620383.01,Côte-Saint-Luc,65187,2135.63,4207.31,15,15,18965.72,485.3412276,1.98E-07
179,0,3.96E-05,0.00E+00,39.46,0.95,-0.22,0,100.01,94.64,4620570,Montréal-Est,38802,2440.68,802.56,15,15,397.03,1273.330523,0
180,0,2.78E-05,6.78E-21,39.17,0.33,-0.22,0,90.94,90.94,4620433,Dorval,52476,327.47,3676.32,25,25,21247.86,2395.628939,0
181,1.07,2.24E-05,1.36E-06,42.3,1.66,-0.19,0,99.97,89.27,4620326.01,LaSalle,39102,1142.64,2724.64,20,20,19923.53,677.6069656,0
182,0.35,2.65E-05,0.00E+00,35.46,1.18,-0.23,0,98.98,94.22,4620480,Baie-d'Urfé,85722,496.46,1690.86,20,20,34498.16,640.030983,0
183,0,3.17E-05,0.00E+00,40.35,1.72,-0.22,0,99.99,93.02,4620415.06,Saint-Laurent,76204,244.86,2615.38,15,15,16392.26,583.7610892,0.936635373
184,0.12,3.02E-05,0.00E+00,31.85,0.28,0.07,0,99.98,91.22,4620014.02,Mercier-Hochelaga-Maisonneuve,NA,156.06,2221.82,10,10,5762.29,118.7121601,19.65904294
185,0,3.95E-05,2.03E-20,39.34,0.65,-0.2,0,99.95,89.94,4620585.02,Rivière-des-Prairies-Pointes-aux-Trembles,37647,443.64,2572.17,10,10,205.75,808.7472991,0
186,0,3.02E-05,6.78E-21,43.6,1.06,-0.23,0,100.04,93.8,4620266,Ahuntsic-Cartierville,33083,230.3,2694.44,10,10,11013.64,225.8055466,1.563815294
187,0.09,2.10E-05,1.36E-20,41.69,1.16,-0.2,0,100.01,95.06,4620415.06,Saint-Laurent,76204,440.67,4572.81,15,15,19453,1904.459312,0
188,0,3.10E-05,0.00E+00,39.33,0.95,-0.15,0,99.99,99.99,4620014.02,Mercier-Hochelaga-Maisonneuve,NA,386.79,1809.02,10,10,5547.1,246.3313405,0.46706373
189,0,2.75E-05,1.69E-20,41.6,0.73,-0.23,0,99.68,98.52,4620327,LaSalle,35030,268.53,743.69,15,15,22549.84,225.9534202,1.175781676
190,0.58,2.10E-05,0.00E+00,42.18,1.27,-0.2,0,100,93.24,4620326.03,LaSalle,41280,752.05,2661.42,20,20,20612.96,231.1061837,0.513331273
191,0.39,3.01E-05,6.78E-21,39.31,0.5,-0.16,4.13,99.83,64.97,4620179,Rosemont-La-Petite-Patrie,29683,1135.78,3504.94,10,5,8644.58,138.1086819,2.772593901
192,0,3.96E-05,0.00E+00,38.89,0.86,-0.21,0,99.98,65.64,4620570,Montréal-Est,38802,2708.45,536.73,20,20,488.69,1390.617456,0
193,0.27,3.17E-05,0.00E+00,39.54,1.57,-0.23,0,99.87,66.65,4620404,Mont-Royal,90875,145.11,3337.06,10,10,12500.44,17.49596593,1.900765969
194,2.9,3.95E-05,6.78E-21,36.63,0.34,-0.15,0,98.6,65.54,4620594.02,Anjou,47581,928.88,3307.79,20,20,1176.21,547.9754408,0
195,3.78,2.21E-05,0.00E+00,38.57,1.8,-0.11,0,84.89,66.86,4620610.07,Montréal-Nord,23885,684.51,234.53,25,15,5273.23,114.9215223,1.520753717
196,1.06,2.11E-05,6.78E-21,39.04,0.5,-0.16,0,96.25,66.74,4620094.02/4620084,Le Sud-Ouest,30262.21,36.16,2872.11,15,15,17006.59,183.3112229,0.435680022
197,0,2.23E-05,6.78E-21,39.67,0.33,-0.18,0,99.12,65.65,4620395.01,Lachine,23621,192.4,3271.5,NA,NA,20925.61,2569.221397,0
198,0.33,2.92E-05,6.78E-21,39.85,0.42,-0.19,0,96.27,69.2,4620415.05,Saint-Laurent,84543,346.32,861.31,10,10,19323.37,206.7236883,4.551452053
199,6.91,2.08E-05,2.37E-06,33.67,0.55,-0.18,0,100.01,68.89,4620491/4620480,Baie-d'Urfé,85915.56,180.47,1518.79,20,20,37031.86,738.9918127,0
200,0.42,3.93E-05,2.03E-20,37.44,0.45,-0.16,0,100,65.3,4620009,Mercier-Hochelaga-Maisonneuve,38773,212.63,596.36,25,10,4423.72,538.318245,0
201,2.29,3.17E-05,0.00E+00,39.43,0.93,-0.17,5.07,99.93,68.91,4620268.03,Ahuntsic-Cartierville,NA,88.76,2901.75,NA,NA,12686.12,357.7727581,0
202,3.03,3.02E-05,0.00E+00,39.69,0.67,-0.17,14.85,94.34,62.81,4620605.03,Saint-Léonard,33633,1361.26,3586.37,15,15,3888.8,242.1158278,0.942828034
203,8.54,2.92E-05,6.78E-21,38.94,0.44,-0.15,0,81.59,61.2,4620415.05,Saint-Laurent,84543,216.29,1449.74,20,20,19713.11,461.1863088,0
204,0.02,3.17E-05,0.00E+00,38.66,0.37,-0.18,11.07,100.01,61.45,4620269,Ahuntsic-Cartierville,36187,502.63,1650.45,5,5,12320.52,103.4768788,6.695965854
205,0,2.44E-05,3.39E-21,40.97,0.7,-0.21,0,99.96,64.66,4620610.01,Montréal-Nord,32262,116.15,1690.4,15,15,5255.7,292.2482358,0.010078803
206,3.39,2.91E-05,0.00E+00,38.46,0.42,-0.2,14.03,95.84,61.95,4620070,Le Sud-Ouest,48209,198.2,946.62,30,5,13411.58,212.2180668,2.148627989
207,0.09,2.65E-05,0.00E+00,36.16,0.52,-0.13,0,99.99,63.14,4620480,Baie-d'Urfé,85722,203.41,1298.99,25,25,35604.6,266.5064813,0.553864154
208,4.39,2.82E-05,0.00E+00,39.84,0.71,-0.18,0.07,87.96,59.66,4620325.06,LaSalle,42456,663.78,1259.05,15,15,20409.89,125.7692896,18.29465363
209,4.71,2.49E-05,0.00E+00,38.83,0.9,-0.16,0,88.27,61.35,4620513.02,Pierrefonds-Roxborro,37567,361.5,519.29,10,10,26975.02,496.6349688,0.429028918
210,0.01,3.95E-05,1.36E-20,38.41,0.51,-0.18,4.73,99.07,62.74,4620594.02,Anjou,47581,1000.43,3460.07,20,20,1160.33,786.7554923,0
211,0.75,3.02E-05,0.00E+00,40.23,0.54,-0.21,7.88,99.96,78.85,4620216,Rosemont-La-Petite-Patrie,34861,222.87,4634.19,10,10,10558.77,121.8764205,2.595065892
212,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315
213,0.48,2.10E-05,0.00E+00,37.7,0.64,-0.21,0,100,75.3,4620119,Côte-des-Neiges-Nôtre-Dame-de-Grâce,29893,182.78,6105.36,10,10,14721.95,235.6506386,0.960691813
214,0,3.10E-05,0.00E+00,40.14,0.88,-0.2,0,100.01,75.12,4620014.02,Mercier-Hochelaga-Maisonneuve,NA,120.36,1540.9,10,10,5624.3,97.12055137,3.53516344
215,0.26,3.43E-05,2.03E-20,40.64,0.39,-0.23,0,100.01,76.33,4620593.01,Anjou,39660,402.16,4246.47,10,10,2434.07,379.9793792,0
216,0.06,2.21E-05,4.69E-09,37.84,0.51,-0.18,0.22,99.96,78.39,4620610.06,Montréal-Nord,38684,644.99,1581.22,15,15,4422.25,517.6267288,0.149807774
217,0,3.17E-05,0.00E+00,39.31,0.87,-0.2,0,100,75.62,4620415.06,Saint-Laurent,76204,653.63,3303.4,10,10,18617.67,496.2265306,0
218,0.26,3.17E-05,1.36E-20,36.63,0.1,-0.18,0.06,100,77.81,4620402,Mont-Royal,59971,85.43,5419.83,20,10,15828.58,586.9732443,0
219,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479
220,0.46,2.75E-05,0.00E+00,38.05,0.39,-0.22,0,97.51,78.3,4620453.02,Pointe-Claire,66088,233.89,2633.71,20,20,26133.77,401.3315281,0
221,3.68,2.46E-05,3.39E-21,38.82,1.08,-0.1,4.73,92.9,74.69,4620290.05/4620290.01,Rivière-des-Prairies-Pointes-aux-Trembles,45953.4,84,2266.65,20,15,3215.15,269.3691889,0.151411371
222,1.13,2.75E-05,0.00E+00,37.89,0.71,-0.2,1.84,78.87,74.84,4620521.06,Dollard-des-Ormeaux,68640,694.28,2921.03,20,20,24973.99,36.4666387,14.00292334
223,0.7,3.02E-05,0.00E+00,34.53,0.12,-0.19,0,99.05,73.07,4620229,Villeray-Saint-Michel-Parc-Extension,NA,467.79,4432.63,5,5,11256.88,0,34.25255684
224,2.42,2.65E-05,0.00E+00,35.9,0.68,-0.15,0,79.48,71.14,4620470.01,Kirkland,69796,108.48,2465.95,20,20,31160.63,426.6171958,0
225,3.14,2.12E-05,1.02E-20,35.22,0.47,-0.1,5.32,87.87,70.26,4620123,Côte-des-Neiges-Nôtre-Dame-de-Grâce,25907,320.68,5750.1,10,10,14262.67,366.212629,0
226,0.4,2.91E-05,0.00E+00,36.69,0.41,-0.2,12.77,95.15,74.09,4620171,Le Plateau-Mont-Royal,34688,229.4,4093.04,10,5,10677.2,27.50526828,6.718909123
227,0.33,2.92E-05,6.78E-21,39.85,0.42,-0.19,0,96.27,69.2,4620415.05,Saint-Laurent,84543,346.32,861.31,10,10,19323.37,206.7236883,4.551452053
228,0.65,2.10E-05,6.78E-21,40.52,0.72,-0.16,8.89,91.18,71.3,4620326.02,LaSalle,38617,386.17,1302.64,15,15,21919.43,300.2610323,0
229,0.03,2.25E-05,0.00E+00,41.26,0.77,-0.3,0,100.02,71.88,4620431,Dorval,49983,220.98,726.22,20,20,24471.28,420.2260689,0.4384237
230,0.1,2.65E-05,6.78E-21,34.47,0.3,-0.19,0.07,93.62,70.58,4620491,Saint-Anne-de-Bellevue,86211,610.73,2388.1,20,20,35679.54,153.9026608,1.881258731
231,4.07,3.02E-05,0.00E+00,37.02,0.42,-0.21,6.27,96.37,73.98,4620602.02,Saint-Léonard,37809,372.14,5166.15,5,5,6248.24,40.1591555,9.433779468
232,0,2.66E-05,1.02E-20,37.66,0.42,-0.23,0,100,86.63,4620452,Pointe-Claire,52307,177.28,2773.84,20,20,28269.3,209.804309,1.109108519
233,0.01,2.10E-05,0.00E+00,39.41,0.62,-0.21,2.41,99.61,86.71,4620330,Lachine,37915,93.14,2570.13,20,10,20493.11,40.00142822,0.688564278
234,1.07,2.24E-05,1.36E-06,42.3,1.66,-0.19,0,99.97,89.27,4620326.01,LaSalle,39102,1142.64,2724.64,20,20,19923.53,677.6069656,0
235,0,2.21E-05,0.00E+00,37.87,0.89,-0.2,0,100,86.05,4620610.07,Montréal-Nord,23885,616.63,742.48,25,15,4887.69,255.6060351,0.276021732
236,1.85,3.02E-05,6.78E-21,37.76,0.6,-0.19,0.04,99.42,87.95,4620225,Villeray-Saint-Michel-Parc-Extension,38907,477.77,3788.11,5,5,11366.03,26.54471705,28.01765925
237,0,2.75E-05,0.00E+00,38.22,0.82,-0.28,0,100,81.31,4620453.02,Pointe-Claire,66088,186.61,2646.19,20,20,26394.12,314.863714,0
238,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315
239,0.4,2.37E-05,0.00E+00,40.1,0.35,-0.21,0,100.02,84.55,4620326.01,LaSalle,39102,1021.05,2679.34,15,15,19473.35,488.7710633,0
240,0,2.91E-05,0.00E+00,34.89,0.62,-0.22,1.9,90.23,84.38,4620056/4620061,Ville-Marie,46569.38,88.31,1153.91,10,10,11945.89,343.5015802,1.512514158
241,0.15,2.75E-05,0.00E+00,39.31,0.81,-0.23,0,96.48,84.74,4620433,Dorval,52476,188.48,2498.47,15,15,22880.68,532.4961298,0
242,0.03,3.02E-05,0.00E+00,37.67,1.48,-0.19,0,99.05,81.83,4620604.04,Saint-Léonard,47867,796.11,2012.66,30,30,6419.43,734.3160823,0.025196997
243,0.73,2.10E-05,0.00E+00,38.88,0.81,-0.2,0,82.73,82.73,4620395.01,Lachine,23621,495.08,1124.13,20,20,21949.14,245.778491,1.353302295
244,1.36,3.96E-05,0.00E+00,36.86,0.62,-0.12,0,100,80.02,4620570,Montréal-Est,38802,296.11,3811.99,10,10,277.7,744.6468556,0
245,0.42,2.25E-05,3.39E-21,31.85,0.87,-0.17,0,94,80.25,4620500,Senneville,70925,217.88,488.32,20,20,38800.03,859.3248011,0
246,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479
247,2.14,2.91E-05,0.00E+00,35.51,0.52,-0.23,7.5,97.8,86.14,4620062,Ville-Marie,39946,297.49,1421.18,15,10,12606.46,257.5363231,1.057591376
248,0,3.17E-05,0.00E+00,39.21,0.74,-0.18,0,99.6,82.47,4620415.06,Saint-Laurent,76204,393.47,3561.4,15,15,18547.91,734.8954367,0
249,2.14,2.23E-05,6.78E-21,38.73,1.21,-0.18,3.65,97.7,82.32,4620402,Mont-Royal,59971,672.23,6268.74,15,10,16585.34,867.0936889,0
