fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS,GS_500,Households,Backyards,BY_Ratio,GS_1000,GS_800,GS_300,Testing,%yard,yard_area
116,0.53,3.78E-05,2.71E-20,38.33,0.67,-0.2,0,99.99,58.56,4620570,314.5,Montréal-Est,38802,149.28,2541.75,10,10,1535.92,292.1435089,0.097352516,-394702.3385,195193.5329,41.43,352.75,6.149180239,0,0,NA,9.831950034,10.769,0.097352516,Training,0,0
135,8.41,2.86E-05,3.06E-07,35.08,1.45,-0.16,0.01,86.74,46.02,4620083,8088.7,Le Sud-Ouest,34290,448.55,2034.86,15,15,16466.32,107.4412485,7.024716111,-397761.5453,176922.5741,40.72,355.56,5.875667601,0,0,NA,3.591950022,3.879,7.024716111,Training,0.132295017,1906
71,4.89,2.10E-05,0.00E+00,33.31,0.14,-0.08,3.44,56.82,22.42,4620382.01/4620383.02,6666.1,Côte-Saint-Luc,58729.23,2109.89,4949.51,15,15,18157.45,94.65699027,6.801107707,-403583.9734,177917.6708,34.4,361.52,4.570884172,470,1,0.00212766,2.895550031,2.864,6.801107707,Training,0.43185413,6222
145,0.06,3.02E-05,0.00E+00,38.85,0.65,-0.18,10.09,100.01,49.12,4620611.01,3963.5,Montréal-Nord,40263,479.1,1890.2,15,15,5678.22,94.8221576,5.751559719,-399378.9143,191391.737,50.89,362.46,3.250175071,0,0,NA,1.689900003,1.748,5.751559719,Training,0,0
163,18.62,2.91E-05,0.00E+00,35.64,0.67,-0.08,2.25,91.11,38.84,4620079,7716.4,Le Sud-Ouest,35038,486.28,1742.2,15,5,15688.4,0,4.943668761,-397339.262,177607.6022,52.27,363.45,4.429920962,62,0,0,6.055950031,6.105,4.943668761,Training,0.088844678,1280
238,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,5626.7,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315,-402581.2778,185172.7562,20.56,365.26,2.665745034,0,0,NA,4.325650042,3.695,0.001145315,Training,0.966155681,13920
25,0.25,2.91E-05,0.00E+00,35.08,0.45,-0.25,10.58,92.87,76.78,4620054/4620058,9342.2,Ville-Marie,24522.72,68.22,620.58,25,10,11460,172.9131901,5.990046356,-395196.3523,181391.2644,16.09,365.64,6.556536732,1,0,0,4.045799981,4.087,5.990046356,Training,0.069965875,1008
6,9.61,2.10E-05,0.00E+00,34.66,0.09,0.08,8.91,66.18,5.65,4620382.01/4620380,6666.1,Côte-Saint-Luc,48717.31,2026.21,4954.71,15,15,18092.41,176.2542124,5.523855363,-403235.4667,177766.5328,60.53,370.44,4.872356454,14,7,0.5,3.047750005,3.527,5.523855363,Training,0.337946271,4869
66,13.97,2.10E-05,0.00E+00,36.2,0.54,-0.13,14.71,75.37,41.49,4620352,6415.9,Westmount,57358,608.87,3430.53,15,15,15866.81,244.8373243,1.078662756,-398993.7637,177994.226,33.88,375.46,3.829560296,36,16,0.444444444,4.659050014,4.537,1.078662756,Test,0.225996593,3256
75,37.75,2.10E-05,0.00E+00,33.12,0.13,0.09,9.13,33.62,19.68,4620340,3689.6,Montréal-Ouest,79279,964.44,2886.22,15,15,20009.41,191.2909181,3.076088614,-402967.6936,175335.3831,13.94,377.27,2.578500586,47,47,1,3.225550008,3.262,3.076088614,Training,0.827064628,11916
96,37.75,2.10E-05,0.00E+00,33.12,0.13,0.09,9.13,33.62,19.68,4620340,3689.6,Montréal-Ouest,79279,964.44,2886.22,15,15,20009.41,191.2909181,3.076088614,-402967.6936,175335.3831,13.94,379.2,2.578500586,48,48,1,3.225550008,3.262,3.076088614,Test,0.827064628,11916
104,44.3,2.91E-05,0.00E+00,31.05,0.21,0.12,10.48,28.27,14.43,4620360,1349,Outremont,139132,838.72,3953.61,5,5,12252.48,134.7934708,6.29376327,-398656.417,181816.6917,13.84,386.71,12.85729449,15,15,1,18.83140022,18.136,6.29376327,Training,0.605457079,8723
80,20.05,2.91E-05,0.00E+00,34.15,0.39,0.01,18.62,99.99,22.32,4620187.03/4620187.04/4620187.01,13501,Rosemont-La-Petite-Patrie,45600.18,303.93,2083.18,5,5,7386.66,123.289345,7.830809521,-395066.9162,185593.4413,77.67,391.82,7.410859215,139,6,0.043165468,5.770649961,5.926,7.830809521,Training,0,0
128,8.95,2.91E-05,0.00E+00,37.26,0.49,-0.15,15.17,84.54,51.68,4620132/4620133,18214.2,Le Plateau-Mont-Royal,32872.52,54.96,1979.93,10,5,11365.98,185.0405172,3.177354923,-396481.1735,181865.6639,32.86,394.06,2.789618183,146,8,0.054794521,8.522049925,6.805,3.177354923,Training,0.12306408,1773
164,8.28,3.16E-05,6.78E-21,36.78,0.22,-0.12,15.4,68.42,36.15,4620267,5626.7,Ahuntsic-Cartierville,38918,113.16,2865.22,10,10,11822.4,278.1781841,0.165383646,-402025.1335,184642.0894,32.27,395.12,4.413217128,45,15,0.333333333,2.506050012,2.158,0.165383646,Training,0.251742638,3627
206,3.39,2.91E-05,0.00E+00,38.46,0.42,-0.2,14.03,95.84,61.95,4620070,NA,Le Sud-Ouest,48209,198.2,946.62,30,5,13411.58,212.2180668,2.148627989,-395723.9533,179511.6547,33.89,395.67,2.698235177,3,1,0.333333333,3.258850028,3.792,2.148627989,Test,0.040258062,580
69,28.67,2.91E-05,0.00E+00,33.64,0.27,0.02,20.14,49.91,24.63,4620366,7282.5,Outremont,67227,737.03,4916.13,10,5,12061.53,253.0422602,1.13753121,-399441.4258,182487.8639,25.28,398.78,6.897618511,55,27,0.490909091,5.453950005,6.053,1.13753121,Training,0.374669568,5398
212,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,5626.7,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315,-402581.2778,185172.7562,20.56,411.49,2.665745034,0,0,NA,4.325650042,3.695,0.001145315,Training,0.966155681,13920
111,19.78,2.67E-05,1.02E-20,33.25,0.32,0.09,14.36,26.54,11.54,4620514.01,3494.8,Pierrefonds-Roxborro,52163,1186.37,1001.9,20,20,28600.75,155.8878314,6.750385706,-419012.8996,179402.0437,15,415.78,5.076228865,28,28,1,5.032000041,4.872,6.750385706,Training,0.610603048,8798
205,0,2.44E-05,3.39E-21,40.97,0.7,-0.21,0,99.96,64.66,4620610.01,4856.5,Montréal-Nord,32262,116.15,1690.4,15,15,5255.7,292.2482358,0.010078803,-399185.4096,192217.5133,35.3,424.44,2.019822845,0,0,NA,2.442400027,1.415,0.010078803,Training,0,0
67,0.4,3.96E-05,0.00E+00,34.61,0.17,-0.09,0,94.02,27.83,4620593.01,4880.1,Anjou,39660,363.24,3790.93,5,5,2420.99,64.28918085,2.947377149,-394603.2131,190850.0866,66.19,428.73,4.205208261,570,0,0,3.802000027,4.434,2.947377149,Training,0.059901261,863
202,3.03,3.02E-05,0.00E+00,39.69,0.67,-0.17,14.85,94.34,62.81,4620605.03,5735.5,Saint-Léonard,33633,1361.26,3586.37,15,15,3888.8,242.1158278,0.942828034,-397443.3238,191461.7684,31.53,429.78,2.901327175,0,0,NA,4.136700024,4.018,0.942828034,Training,0.049488907,713
162,20.86,2.91E-05,0.00E+00,35.66,0.13,-0.07,18.52,67.33,35.22,4620037,6598.8,Ville-Marie,27816,434.24,885.81,10,10,9290.94,241.5201842,2.046466606,-394767.3636,183520.4028,32.11,436.44,4.650491494,134,16,0.119402985,5.509899968,5.657,2.046466606,Training,0.304088202,4381
220,0.46,2.75E-05,0.00E+00,38.05,0.39,-0.22,0,97.51,78.3,4620453.02,744,Pointe-Claire,66088,233.89,2633.71,20,20,26133.77,401.3315281,0,-415267.5433,178107.4599,19.21,438.61,0.096046434,0,0,NA,1.496350004,1.423,0,Training,0.024638306,355
172,6.5,2.21E-05,0.00E+00,36.14,0.59,-0.1,21.29,70.03,34.36,4620610.04/4620610.07,18673.5,Montréal-Nord,29574.42,953.46,729.68,20,15,5124.14,0,1.836861518,-399157.3568,193900.7806,35.67,439.32,1.31500941,175,16,0.091428571,1.016550009,0.9,1.836861518,Training,0.245359732,3535
184,0.12,3.02E-05,0.00E+00,31.85,0.28,0.07,0,99.98,91.22,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,156.06,2221.82,10,10,5762.29,118.7121601,19.65904294,-394451.2675,187104.2996,8.76,442.08,22.09718048,0,0,NA,18.37530029,18.397,19.65904294,Training,0,0
77,7.27,3.02E-05,0.00E+00,35.19,0.17,-0.06,14.97,54.46,24.55,4620600.03,9494.9,Saint-Léonard,37139,586.74,4939.04,10,10,4422,165.9201519,2.795960834,-396285.2555,189553.5671,29.91,443.91,5.201917825,110,23,0.209090909,6.333450087,6.908,2.795960834,Training,0.379255717,5464
122,0.25,2.93E-05,6.78E-21,39.67,0.53,-0.2,0,99.97,51.88,4620605.04,3098.6,Saint-Léonard,42437,740.76,2786.37,15,15,4335.88,351.8729215,0.088189607,-398129.6149,191883.5349,48.09,445.35,0.525795975,0,0,NA,0.537449999,1.561,0.088189607,Training,0,0
237,0,2.75E-05,0.00E+00,38.22,0.82,-0.28,0,100,81.31,4620453.02,744,Pointe-Claire,66088,186.61,2646.19,20,20,26394.12,314.863714,0,-415517.4952,178009.1913,18.69,445.76,0.660934084,0,0,NA,1.593449994,1.611,0,Training,0,0
225,3.14,2.12E-05,1.02E-20,35.22,0.47,-0.1,5.32,87.87,70.26,4620123,15226.6,Côte-des-Neiges-Nôtre-Dame-de-Grâce,25907,320.68,5750.1,10,10,14262.67,366.212629,0,-400687.2481,180671.5934,17.61,446.32,1.806113058,252,0,0,6.520149952,6.718,0,Training,0.082249148,1185
196,1.06,2.11E-05,6.78E-21,39.04,0.5,-0.16,0,96.25,66.74,4620094.02/4620084,2.7,Le Sud-Ouest,30262.21,36.16,2872.11,15,15,17006.59,183.3112229,0.435680022,-398630.9677,176638.0995,29.51,447.98,0.528773156,0,0,NA,0.756800009,0.984,0.435680022,Training,0.037758741,544
108,19.98,3.02E-05,0.00E+00,35.2,0.22,-0.02,28.02,56.67,16.5,4620254,6630.3,Villeray-Saint-Michel-Parc-Extension,34000,42.58,5006.61,5,5,6572.03,284.9700917,0.058640426,-397640.0175,187867.0482,40.17,451.89,3.045789096,74,17,0.22972973,3.836550023,4.151,0.058640426,Training,0.364469035,5251
232,0,2.66E-05,1.02E-20,37.66,0.42,-0.23,0,100,86.63,4620452,2306.8,Pointe-Claire,52307,177.28,2773.84,20,20,28269.3,209.804309,1.109108519,-417059.5409,176941.8232,13.37,453.02,0.669218412,0,0,NA,1.051050003,1.063,1.109108519,Training,0,0
22,0.46,2.91E-05,0.00E+00,36,0.42,-0.23,3.37,97.29,80.82,4620021,6523,Mercier-Hochelaga-Maisonneuve,26430,70.64,175.4,10,10,7361.36,290.5717019,0.141562409,-393053.6438,185175.2326,16.47,455.31,3.994211325,0,0,NA,4.229249977,4.156,0.141562409,Training,0.024432773,352
139,3.71,2.65E-05,0.00E+00,35.66,0.82,-0.18,0,92.75,48.66,4620470.03,2131.5,Kirkland,105679,476.27,2191.5,20,20,32967.59,269.1002991,0.669768901,-421875.7245,175682.9276,44.09,457.92,6.362890302,0,0,NA,11.38270004,10.304,0.669768901,Training,0.072594206,1046
140,1.16,2.10E-05,1.35E-08,35.63,0.52,-0.14,11.39,77.34,45.42,4620326.02/4620326.03,3117.3,LaSalle,40953.6,340.8,2039.25,15,15,21027.9,193.6307212,0.107201611,-402604.9446,173979.2872,31.92,461.07,0.158826316,0,0,NA,0.427100003,0.739,0.107201611,Training,0.120770062,1740
37,46.27,2.03E-05,1.30E-06,31.18,1.71,0.03,0,58.8,22.76,4620500,122.4,Senneville,70925,121.7,280.36,20,20,38979.27,371.2328356,0,-427614.8611,173543.2627,36.04,469.11,0.22186496,0,0,NA,1.004850014,1.016,0,Training,0.412028665,5937
228,0.65,2.10E-05,6.78E-21,40.52,0.72,-0.16,8.89,91.18,71.3,4620326.02,3117.3,LaSalle,38617,386.17,1302.64,15,15,21919.43,300.2610323,0,-402689.3151,173023.7776,19.88,474.26,1.18466051,0,0,NA,2.469000002,2.418,0,Test,0.017768469,256
247,2.14,2.91E-05,0.00E+00,35.51,0.52,-0.23,7.5,97.8,86.14,4620062,3006,Ville-Marie,39946,297.49,1421.18,15,10,12606.46,257.5363231,1.057591376,-396357.7366,180530.5627,11.66,488.58,2.317929229,0,0,NA,1.555700004,1.638,1.057591376,Training,0.021933616,316
121,8.73,2.91E-05,0.00E+00,37.31,0.29,-0.13,14.33,81.69,56.08,4620136,15283.7,Le Plateau-Mont-Royal,39902,109.52,2555.71,10,10,11135.09,266.3432023,2.718766144,-396928.2565,182266.2353,25.61,490.53,7.905191038,181,6,0.033149171,13.84279996,15.557,2.718766144,Test,0.180118701,2595
221,3.68,2.46E-05,3.39E-21,38.82,1.08,-0.1,4.73,92.9,74.69,4620290.05/4620290.01,2296.7,Rivière-des-Prairies-Pointes-aux-Trembles,45953.4,84,2266.65,20,15,3215.15,269.3691889,0.151411371,-397274.5827,193373.4134,18.21,503.79,1.441473161,0,0,NA,3.514099985,1.804,0.151411371,Training,0.063162559,910
151,0.24,2.21E-05,0.00E+00,38.42,0.35,-0.18,17.68,100,44.81,4620290.05,2296.7,Rivière-des-Prairies-Pointes-aux-Trembles,38960,87.81,1523.9,15,15,3803.55,209.165344,2.087918263,-397830.6484,193904.1171,55.19,511.11,2.148491603,0,0,NA,2.51349999,2.57,2.087918263,Training,0,0
26,21.84,2.91E-05,0.00E+00,36.03,0.49,-0.07,4.46,96.78,90.96,4620055.01,6500,Ville-Marie,56918,283.56,234.92,25,10,12272.84,327.0078832,0.765992929,-395150.4215,180544.5378,5.82,514.19,1.633307143,11,0,0,2.449900009,1.849,0.765992929,Training,0.028250129,407
21,0,2.97E-05,3.39E-21,34.39,0.83,-0.26,0,100.03,80.57,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,126.69,2137.77,5,5,6349.31,89.13795862,3.749793619,-394503.9532,186506.9681,19.46,517.8,5.439315921,0,0,NA,7.473900014,8.983,3.749793619,Test,0,0
60,0,3.96E-05,0.00E+00,37.67,0.25,-0.22,8.36,99.99,29.19,4620585.02/4620584,698.1,Rivière-des-Prairies-Pointes-aux-Trembles,37638.25,1167.81,2033.23,10,10,0,392.5703555,0,-390919.542,195702.9596,70.8,534.25,0.205814053,0,0,NA,1.02125001,1.033,0,Training,0,0
213,0.48,2.10E-05,0.00E+00,37.7,0.64,-0.21,0,100,75.3,4620119,11013.2,Côte-des-Neiges-Nôtre-Dame-de-Grâce,29893,182.78,6105.36,10,10,14721.95,235.6506386,0.960691813,-401644.6805,180756.07,24.7,545.55,3.801082917,2,0,0,4.410600018,4.953,0.960691813,Test,0,0
240,0,2.91E-05,0.00E+00,34.89,0.62,-0.22,1.9,90.23,84.38,4620056/4620061,5381.4,Ville-Marie,46569.38,88.31,1153.91,10,10,11945.89,343.5015802,1.512514158,-395946.0189,181096.1861,5.85,550.18,2.375919528,0,0,NA,2.575500044,1.794,1.512514158,Test,0.09696621,1397
235,0,2.21E-05,0.00E+00,37.87,0.89,-0.2,0,100,86.05,4620610.07,7815.7,Montréal-Nord,23885,616.63,742.48,25,15,4887.69,255.6060351,0.276021732,-398896.954,194118.6232,13.95,554.3,1.62579947,0,0,NA,1.827800021,1.641,0.276021732,Training,0,0
186,0,3.02E-05,6.78E-21,43.6,1.06,-0.23,0,100.04,93.8,4620266,4456.4,Ahuntsic-Cartierville,33083,230.3,2694.44,10,10,11013.64,225.8055466,1.563815294,-401711.9338,185457.2025,6.24,564.49,4.751580171,0,0,NA,6.954399977,7.977,1.563815294,Training,0,0
56,0,3.17E-05,0.00E+00,41.32,0.39,-0.17,0,100.01,98.73,4620415.06,427.7,Saint-Laurent,76204,185.22,3769.84,10,10,18052.11,272.8744038,0.420787049,-406952.8083,180743.1748,1.28,585.33,1.591499232,0,0,NA,0.981000016,0.992,0.420787049,Test,0,0
203,8.54,2.92E-05,6.78E-21,38.94,0.44,-0.15,0,81.59,61.2,4620415.05,427.7,Saint-Laurent,84543,216.29,1449.74,20,20,19713.11,461.1863088,0,-409673.7671,181344.7653,20.39,587.03,0,0,0,NA,0.520949997,0.597,0,Training,0.184063128,2652
89,1.43,2.82E-05,0.00E+00,31.9,0.79,0.16,11.83,18.12,0,4620315,295.9,Verdun,NA,130.75,1124.96,15,15,19239.72,121.58267,6.366840223,-398362.9858,174207.0367,18.12,603.58,9.449842209,12,12,1,18.43299982,17.15,6.366840223,Training,0.578737511,8338
54,0,3.26E-05,1.36E-20,40.45,0.59,-0.23,0,100.01,84.33,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,112.98,356.83,15,10,4218.58,489.7838614,0,-391322.7706,188393.7769,15.68,603.61,0,0,0,NA,0.337200004,0.567,0,Training,0,0
168,5.58,3.02E-05,0.00E+00,37.3,0.17,-0.06,15.08,98.74,31.42,4620220,13808,Villeray-Saint-Michel-Parc-Extension,25603,38.75,4860.07,10,10,11293.69,155.1490315,1.222741983,-400163.1343,183875.8134,67.32,618.55,3.836684607,0,0,NA,8.874100016,10.465,1.222741983,Training,0.001874034,27
133,0.07,3.17E-05,0.00E+00,36.5,0.2,-0.2,28.93,92.19,50.34,4620267,5626.7,Ahuntsic-Cartierville,38918,498.94,2283.49,10,10,12103.67,346.1082879,0,-402612.9362,184814.3687,41.85,630.8,0.572007736,0,0,NA,1.654599991,1.591,0,Training,0.073919239,1065
61,12.65,3.15E-05,6.78E-21,35.53,0.22,-0.1,29.87,71.94,25.46,4620311,11203.5,Verdun,32291,781.83,567.92,15,15,18024.86,518.2900129,0.137667833,-396842.4036,175035.9699,46.48,631.45,0.113391893,87,13,0.149425287,1.433100008,1.446,0.137667833,Training,0.185811044,2677
31,54.82,2.91E-05,0.00E+00,28.61,0.33,0.24,2.67,31.46,2.85,4620360,1349,Outremont,139132,1085.3,3769.67,5,5,12541.55,190.9093333,4.185000613,-398568.3685,181447.7704,28.61,637.65,13.85180353,0,0,NA,21.13825011,20.743,4.185000613,Training,0.675213836,9728
52,0.03,3.09E-05,3.17E-07,37.64,0.69,-0.19,0,100.02,89.54,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,349.09,2077.24,5,5,5478.41,359.6104426,0,-394190.8663,187322.1394,10.48,646.35,1.518879855,0,0,NA,11.67485014,10.72,0,Test,0,0
10,0.44,2.10E-05,0.00E+00,39.24,0.52,-0.18,0,100,75.15,4620112.01,8481.7,Côte-des-Neiges-Nôtre-Dame-de-Grâce,35271,93.48,6186.55,10,10,15478.89,350.7567952,0,-402404.9546,180341.6249,24.85,649.47,0.605145092,0,,NA,1.53105002,0.992,0,Training,0,0
217,0,3.17E-05,0.00E+00,39.31,0.87,-0.2,0,100,75.62,4620415.06,427.7,Saint-Laurent,76204,653.63,3303.4,10,10,18617.67,496.2265306,0,-407681.4526,180687.1585,24.38,649.68,0,0,0,NA,0.944800002,0.583,0,Training,0,0
4,13.56,2.10E-05,0.00E+00,35.39,0.54,0,5.64,42.8,34.23,4620383.02,5327.6,Côte-Saint-Luc,44361,1855.57,5027.78,15,15,18224.59,319.9732411,0.37932801,-404161.2972,178209.3896,8.57,652.5,1.968048339,250,3,0.012,2.845300014,2.814,0.37932801,Training,0.571778114,8238
113,8.79,2.91E-05,0.00E+00,32.24,0.43,-0.11,0,77.07,55.47,4620129.01,13484.5,Ville-Marie,38921,892.76,2262.16,10,10,12788.77,28.77679009,16.97069537,-397195.4835,180604.413,21.6,653.85,21.51184013,0,0,NA,26.03844994,27.117,16.97069537,Training,0.214545873,3091
177,2.05,2.65E-05,0.00E+00,34.89,0.56,-0.02,8.95,44.33,29.71,4620470.04,2312.7,Kirkland,78071,198.41,2525.06,20,20,31461.34,413.2774995,0,-420386.4645,176152.925,14.62,667.76,0.001423871,18,18,1,5.426199999,5.69,0,Training,0.556744099,8022
18,3.35,3.02E-05,0.00E+00,38.21,0.46,-0.18,0.77,98.08,70.16,4620256,2049.7,Villeray-Saint-Michel-Parc-Extension,33595,251.51,3853.46,10,10,7910.7,105.284453,8.604781148,-399248.3759,187406.939,27.92,669.49,13.77204893,3,3,1,21.43950005,19.629,8.604781148,Training,0.019365075,279
215,0.26,3.43E-05,2.03E-20,40.64,0.39,-0.23,0,100.01,76.33,4620593.01,4880.1,Anjou,39660,402.16,4246.47,10,10,2434.07,379.9793792,0,-395060.7557,191131.2354,23.68,681.67,0.196105589,0,0,NA,4.440750058,4.053,0,Training,0,0
178,15.41,2.10E-05,0.00E+00,36.46,0.36,-0.08,0.3,74.96,29.3,4620383.01,5327.6,Côte-Saint-Luc,65187,2135.63,4207.31,15,15,18965.72,485.3412276,1.98E-07,-404235.1612,177373.2566,45.66,683.71,0.394152817,3,1,0.333333333,1.010600007,0.891,1.98E-07,Training,1.000091133,14409
174,5.43,2.23E-05,6.78E-21,38.01,0.67,-0.1,8.5,96.34,32.18,4620402,691.6,Mont-Royal,59971,231.72,5942.61,15,10,16111.17,435.1922314,0,-403492.6286,180317.2417,64.16,687.95,0,0,0,NA,0.948699996,0.959,0,Training,0.023182127,334
68,15.41,2.10E-05,0.00E+00,36.46,0.36,-0.08,0.3,74.96,29.3,4620383.01,5327.6,Côte-Saint-Luc,65187,2135.63,4207.31,15,15,18965.72,485.3412276,1.98E-07,-404235.1612,177373.2566,45.66,688.5,0.394152817,3,1,0.333333333,1.010600007,0.891,1.98E-07,Training,1.000091133,14409
12,16.73,2.83E-05,1.06E-06,32.82,0.79,0.01,0.84,76.86,68.21,4620125,13184.8,Côte-des-Neiges-Nôtre-Dame-de-Grâce,44718,978.83,5330.84,10,5,13083.71,0,8.489099974,-400113.6219,181704.4532,8.65,704.69,5.474905604,2,2,1,5.141500046,5.183,8.489099974,Training,0.223704363,3223
82,15.73,2.10E-05,0.00E+00,33.83,0.19,0.14,8.2,45.07,8.63,4620340,3689.6,Montréal-Ouest,79279,493.68,3091.14,15,15,19874.83,371.2936952,0.541734765,-402379.7862,175163.1362,36.44,708.1,0.695495267,0,0,NA,0.878850001,1.298,0.541734765,Training,0.508900374,7332
170,0.82,2.65E-05,0.00E+00,35.9,0.79,-0.25,0.19,98.03,33.45,4620460,1492.1,Beaconsfield,94151,97.8,404.12,20,20,31092.46,339.5259604,0,-418619.4942,174311.1834,64.58,714.17,0.212803964,0,0,NA,1.144600008,1.213,0,Training,0.010618619,153
165,8.94,2.21E-05,0.00E+00,37.32,0.72,-0.11,30.06,97.63,35.27,4620610.05/4620610.06,11441.2,Montréal-Nord,34865.21,793.45,1327.93,15,15,4652.56,464.3466152,0.92473042,-398710.4022,193500.1016,62.36,715.67,0.765783608,0,0,NA,0.945950011,1.438,0.92473042,Training,0.005275074,76
229,0.03,2.25E-05,0.00E+00,41.26,0.77,-0.3,0,100.02,71.88,4620431,2443.9,Dorval,49983,220.98,726.22,20,20,24471.28,420.2260689,0.4384237,-410233.6672,175014.013,28.14,720.46,0.248659298,0,0,NA,3.8724001,4.106,0.4384237,Training,0,0
38,20.72,2.65E-05,0.00E+00,31.26,1.47,0.02,2.38,73.09,44.6,4620491,257.9,Saint-Anne-de-Bellevue,86211,273.74,2184.28,20,20,35632.67,275.1604738,0.131250621,-424167.925,174321.0929,28.49,723.97,0.432467837,0,0,NA,0.422800003,0.428,0.131250621,Training,0.234020493,3372
102,0.26,3.02E-05,0.00E+00,35.63,0.39,-0.2,0,98.59,11.67,4620601.02,10449.2,Saint-Léonard,39837,723.09,4879.23,5,5,5921.41,404.3497826,0,-396890.4106,188162.1316,86.92,729.83,0.128277649,7,0,0,4.004850045,4.353,0,Training,0.014090173,203
218,0.26,3.17E-05,1.36E-20,36.63,0.1,-0.18,0.06,100,77.81,4620402,691.6,Mont-Royal,59971,85.43,5419.83,20,10,15828.58,586.9732443,0,-403689.7793,180816.1845,22.19,732.18,0,0,0,NA,0.390850005,0.476,0,Training,0,0
209,4.71,2.49E-05,0.00E+00,38.83,0.9,-0.16,0,88.27,61.35,4620513.02,3387.8,Pierrefonds-Roxborro,37567,361.5,519.29,10,10,26975.02,496.6349688,0.429028918,-418026.9459,181000.1906,26.92,743.49,0.242446365,0,0,NA,1.377649997,1.553,0.429028918,Training,0,0
101,9.38,2.74E-05,3.39E-21,34.36,0.09,0.01,19.95,39.2,17.29,4620521.05/4620521.01,3624.4,Dollard-des-Ormeaux,88479.37,582.54,1707.51,20,20,26808.04,73.74132569,9.727260165,-417273.8109,179970.4048,21.91,745.94,11.77707908,20,20,1,7.418650092,8.312,9.727260165,Training,0.465277712,6704
118,0.26,2.75E-05,0.00E+00,36.68,0.5,-0.19,2.78,93.78,55.18,4620521.07,2084.7,Dollard-des-Ormeaux,83222,303.02,2825.32,20,20,24597.44,364.6402577,0.087959255,-414521.0642,179726.8082,38.6,763.4,0.597895522,0,0,NA,3.029550005,3.71,0.087959255,Training,0.043308015,624
195,3.78,2.21E-05,0.00E+00,38.57,1.8,-0.11,0,84.89,66.86,4620610.07,7815.7,Montréal-Nord,23885,684.51,234.53,25,15,5273.23,114.9215223,1.520753717,-399224.2517,194508.748,18.03,763.51,0.85936964,126,0,0,0.833550005,1.028,1.520753717,Training,0.151102628,2177
23,0,3.96E-05,0.00E+00,39.89,0.57,-0.21,0,100.01,85.99,4620191,3647.6,Mercier-Hochelaga-Maisonneuve,38538,176.45,2685.53,15,15,2445.09,157.6964975,2.153212375,-393448.8021,190266.7119,14.02,764.49,1.865009456,0,0,NA,3.805250017,3.389,2.153212375,Training,0,0
173,3.77,2.82E-05,0.00E+00,37.09,0.12,-0.17,19.35,94.68,29.28,4620324.02/4620324.01,4178.7,LaSalle,36097.47,777.42,714.37,15,15,22728.28,208.4552764,4.710230576,-402185.7386,171896.0518,65.4,771.7,5.948414455,210,0,0,6.791500139,8.031,4.710230576,Training,0.053791432,775
35,0.03,2.23E-05,6.78E-21,40.53,0.79,-0.17,0,100.02,96.91,4620402,691.6,Mont-Royal,59971,466.98,5752.99,10,10,16298.63,752.178238,0,-403851.6702,180348.9362,3.11,832.94,0,0,0,NA,0,0,0,Training,0,0
211,0.75,3.02E-05,0.00E+00,40.23,0.54,-0.21,7.88,99.96,78.85,4620216,6898.4,Rosemont-La-Petite-Patrie,34861,222.87,4634.19,10,10,10558.77,121.8764205,2.595065892,-398607.3973,183738.5744,21.11,860.61,3.218854121,0,0,NA,2.33419998,2.306,2.595065892,Training,0,0
239,0.4,2.37E-05,0.00E+00,40.1,0.35,-0.21,0,100.02,84.55,4620326.01,1111.1,LaSalle,39102,1021.05,2679.34,15,15,19473.35,488.7710633,0,-400256.9749,174614.7705,15.47,862.36,0,0,0,NA,3.842099995,5.948,0,Training,0,0
153,11.3,3.02E-05,0.00E+00,36.28,0.32,-0.1,24.1,70.37,39.81,4620233/4620234,19394.2,Villeray-Saint-Michel-Parc-Extension,31477.67,139.29,4260.81,10,10,10185.74,427.8196307,0.599688627,-399937.9909,185059.8695,30.56,878.78,0.565923924,280,3,0.010714286,4.118400004,6.173,0.599688627,Training,0.279300584,4024
63,32.73,2.10E-05,0.00E+00,35.36,0.41,0.02,9.36,65.9,25.6,4620340,3689.6,Montréal-Ouest,79279,232.05,2969.41,15,15,20049.27,454.85704,0.279915437,-402281.1879,174913.6923,40.3,887.75,0.303284089,8,8,1,1.577100012,1.568,0.279915437,Training,0.265416837,3824
