fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS,GS_500,Households,Backyards,BY_Ratio,GS_1000,GS_800,GS_300,Testing,%yard,yard_area
138,9.63,2.91E-05,0.00E+00,32.13,0.79,-0.11,6.9,95.93,45.57,4620360,1349,Outremont,139132,1268.27,4381.65,5,5,12662.59,0,28.30244973,-399156.2088,181620.0004,50.36,53.57,18.04626803,1,0,0,10.59654995,10.163,28.30244973,Training,0.023182638,334
226,0.4,2.91E-05,0.00E+00,36.69,0.41,-0.2,12.77,95.15,74.09,4620171,9805.3,Le Plateau-Mont-Royal,34688,229.4,4093.04,10,5,10677.2,27.50526828,6.718909123,-398160.3377,183337.9774,21.06,60.21,4.919732519,6,0,0,2.913400028,4.032,6.718909123,Training,0.046157256,665
105,29.87,2.75E-05,0.00E+00,32.13,0.25,0.13,14.45,28.5,11.36,4620433,233,Dorval,52476,580.89,1034.15,5,5,25238.17,0,19.52012013,-412652.1145,176311.1819,17.14,61.93,11.47974935,20,20,1,4.907650014,4.887,19.52012013,Training,0.569464489,8205
107,47.14,3.17E-05,0.00E+00,32.98,0.27,0.1,13.41,32.88,14.34,4620285,4348.7,Ahuntsic-Cartierville,43144,313.44,251.95,5,5,15486.05,0,13.13945733,-407061.8888,184966.4949,18.54,66.27,13.61904774,30,30,1,7.270649948,6.942,13.13945733,Training,0.58759269,8466
219,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,4409.7,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479,-399553.1074,175756.4187,20.44,72.29,20.40261837,0,0,NA,8.328900016,8.36,28.47814479,Training,0.999838632,14405
231,4.07,3.02E-05,0.00E+00,37.02,0.42,-0.21,6.27,96.37,73.98,4620602.02,10449.2,Saint-Léonard,37809,372.14,5166.15,5,5,6248.24,40.1591555,9.433779468,-397379.6037,188084.877,22.39,74.15,8.319418232,5,0,0,4.087899961,3.808,9.433779468,Training,0.028388503,409
246,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,4409.7,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479,-399553.1074,175756.4187,20.44,76.51,20.40261837,0,0,NA,8.328900016,8.36,28.47814479,Training,0.999838632,14405
123,3.64,3.17E-05,0.00E+00,37.09,1.05,-0.13,5.68,77.19,51.41,4620415.05,427.7,Saint-Laurent,84543,949.18,2625.94,5,5,18594.86,34.33735497,17.53445422,-408117.9282,181207.2712,25.78,77.38,12.97780574,0,0,NA,8.732300045,9.328,17.53445422,Training,0.205719179,2964
129,2.23,2.92E-05,1.02E-20,36.89,0.38,-0.17,15.06,99.44,52.5,4620187.04,7381.1,Rosemont-La-Petite-Patrie,52436,449.74,2012.52,5,5,8165.73,0,15.32878395,-395489.1471,184908.3084,46.94,85.66,10.40396509,0,0,NA,9.041549944,8.256,15.32878395,Training,0.003054056,44
70,1.42,3.78E-05,0.00E+00,36.06,0.2,-0.05,12.04,38.52,22.09,4620290.07,7075.9,Rivière-des-Prairies-Pointes-aux-Trembles,47472,939.26,1222.94,10,5,2975.58,15.8799959,2.885753926,-395965.7299,195907.0314,16.43,89.79,4.006384119,26,26,1,4.951250031,6.397,2.885753926,Training,0.551113917,7940
