fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean,Income,road distance (meters),river distance (meters),petrochem_distance,Distance_M,Lat,Long,Households
117,4.789395269,3.95E-05,1.52E-07,36.06642556,0.723817486,-0.140112231,1687,11.70972438,89.8740434,55.84851353,5.86E-05,6.15E-05,38773,260.07,1251.41,3676.26,146.6626379,-392128.7918,188825.9825,0
118,0.263734705,2.75E-05,0,36.67865634,0.495395994,-0.194110413,401,2.783095173,93.77850869,55.17607638,4.28E-05,7.23E-05,83222,303.02,2825.32,24597.44,364.6402577,-414521.0642,179726.8082,0
119,4.386663212,2.82E-05,0,39.83646274,0.706008472,-0.180397181,10,0.069409228,87.95537378,59.66417243,6.48E-05,5.78E-05,42456,663.78,1259.05,20409.89,125.7692896,-399524.5333,173346.4923,0
120,0,3.05E-05,3.39E-21,37.55733752,1.335658094,-0.155406177,0,0,100.0228108,59.10722759,6.78E-05,6.38E-05,59971,509.79,5908.89,17061.86,908.9387902,-404383.1607,179793.9376,0
121,8.731765946,2.91E-05,0,37.30851316,0.286103534,-0.131620925,2064,14.32620422,81.68851623,56.08320258,6.78E-05,6.75E-05,39902,109.52,2555.71,11135.09,266.3432023,-396928.2565,182266.2353,181
122,0.249872893,2.93E-05,6.78E-21,39.67063117,0.532256179,-0.198627609,0,0,99.9699798,51.88332979,5.49E-05,6.49E-05,42437,740.76,2786.37,4335.88,351.8729215,-398129.6149,191883.5349,0
123,3.636870783,3.17E-05,0,37.08805537,1.05134063,-0.131994235,819,5.684345747,77.18633584,51.40897308,5.46E-05,7.07E-05,84543,949.18,2625.94,18594.86,34.33735497,-408117.9282,181207.2712,0
124,1.089736898,3.91E-05,6.78E-21,37.30870962,0.554326589,-0.146036743,0,0,100.0128596,50.30142228,6.00E-05,6.24E-05,47581,311.04,3793.79,1865.14,661.5130689,-395771.8301,192638.8153,0
125,3.095400624,2.74E-05,6.78E-21,37.63362026,0.486624675,-0.148067106,0,0,69.63957369,51.35866507,4.07E-05,6.71E-05,68640,506.96,2392.9,24826.5,106.2188965,-415295.398,180517.6433,0
126,8.301274535,3.02E-05,0,38.56337953,1.139389616,-0.131331496,1854,12.8683637,89.67597574,49.33566839,7.04E-05,6.70E-05,33595,253.11,3153.42,8002.48,0,-399815.0528,187818.1354,0
127,0.319272639,2.10E-05,0,39.04712462,0.27986484,-0.17894353,2,0.013881419,96.95477166,54.76219833,6.37E-05,6.22E-05,59971,488.12,5948.33,17724.48,731.4297985,-404904.106,179358.3994,0
128,8.946959893,2.91E-05,0,37.25749302,0.489561812,-0.148155046,2186,15.17304447,84.54148293,51.67580792,6.86E-05,6.82E-05,32872.52,54.96,1979.93,11365.98,185.0405172,-396481.1735,181865.6639,146
129,2.228072552,2.92E-05,1.02E-20,36.89206958,0.382774282,-0.168697289,2170,15.0620481,99.44422261,52.50199622,6.37E-05,6.61E-05,52436,449.74,2012.52,8165.73,0,-395489.1471,184908.3084,0
130,0.041643633,2.25E-05,0,39.20735431,0.549125071,-0.201512659,0,0,100.0280059,52.38769001,5.18E-05,6.31E-05,23621,423.8,1980.57,22184.07,1403.432321,-408191.8634,176278.1236,0
131,6.45513377,3.02E-05,3.39E-21,37.81214595,0.829941504,-0.168783034,1591,11.04313745,85.52705195,49.28806979,5.66E-05,5.72E-05,29341,366.16,1307.73,16789.8,28.56335067,-397085.5752,176381.4929,34
132,9.634063194,2.91E-05,0,34.14368534,0.639137751,-0.121586321,68,0.471985805,95.6187713,54.81976305,6.71E-05,6.22E-05,48088,406.23,2990.22,14418.09,246.8266086,-397811.214,179093.7431,0
133,0.069407736,3.17E-05,0,36.5013392,0.202052878,-0.197267531,4168,28.92914438,92.187355,50.34143095,6.21E-05,7.05E-05,38918,498.94,2283.49,12103.67,346.1082879,-402612.9362,184814.3687,0
134,2.436051867,2.75E-05,2.52E-08,36.39063191,0.423908699,-0.161785122,210,1.457466929,86.12241487,48.04088611,3.51E-05,7.43E-05,52307,75.61,2906.05,27944.6,472.4802251,-416908.1158,177289.5672,0
135,8.412463804,2.86E-05,3.06E-07,35.08417964,1.450749293,-0.162558259,2,0.013881953,86.74138627,46.01867576,6.07E-05,5.87E-05,34290,448.55,2034.86,16466.32,107.4412485,-397761.5453,176922.5741,0
136,1.978236541,3.96E-05,0,33.78427958,1.047304079,-0.176556036,0,0,98.60641509,47.88720665,5.46E-05,6.12E-05,38773,242.84,733.52,3387.38,425.3407593,-391368.7066,189240.6113,0
137,8.301274535,3.02E-05,0,38.56337953,1.139389616,-0.131331496,1854,12.8683637,89.67597574,49.33566839,7.04E-05,6.70E-05,33595,253.11,3153.42,8002.48,0,-399815.0528,187818.1354,0
138,9.627041389,2.91E-05,0,32.12559271,0.790931272,-0.113126156,994,6.899263981,95.93030933,45.56707045,6.19E-05,6.58E-05,139132,1268.27,4381.65,12662.59,0,-399156.2088,181620.0004,1
139,3.706052224,2.65E-05,0,35.66367745,0.819649428,-0.184438135,0,0,92.74846802,48.65755083,3.65E-05,6.27E-05,105679,476.27,2191.5,32967.59,269.1002991,-421875.7245,175682.9276,0
140,1.159114967,2.10E-05,1.35E-08,35.63241291,0.517418842,-0.143507764,1641,11.38986624,77.34142564,45.42064878,5.78E-05,5.83E-05,40953.6,340.8,2039.25,21027.9,193.6307212,-402604.9446,173979.2872,0
141,0.388645555,2.65E-05,0,34.22314548,0.553798975,-0.103479694,517,3.588031285,81.78212895,48.78195726,3.26E-05,5.51E-05,86211,873.61,2120.23,35632.81,38.936239,-424484.6498,174830.6753,0
142,0,3.87E-05,4.97E-07,37.1638999,0.406411887,-0.187593913,0,0,99.97894857,47.76833685,5.97E-05,6.12E-05,38802,728.29,3389.69,710.29,534.9761571,-394156.809,194543.3671,0
143,15.49204019,2.17E-05,0,34.90068007,0.551721842,-0.074337733,757,5.254244815,69.08950183,45.08794494,6.52E-05,6.71E-05,33662.95,333.11,5172.14,14320.61,22.61809076,-400120.4883,180260.4446,4
144,6.45513377,3.02E-05,3.39E-21,37.81214595,0.829941504,-0.168783034,1591,11.04313745,85.52705195,49.28806979,5.66E-05,5.72E-05,29341,366.16,1307.73,16789.8,28.56335067,-397085.5752,176381.4929,34
145,0.062467825,3.02E-05,0,38.8451457,0.645166981,-0.176871124,1454,10.09202424,100.0109885,49.1205334,5.88E-05,6.47E-05,40263,479.1,1890.2,5678.22,94.8221576,-399378.9143,191391.737,0
146,0,3.02E-05,0,38.98471093,0.412128908,-0.202989928,138,0.957858558,98.60390348,39.93853728,6.34E-05,6.28E-05,41242,305.17,5032.12,3404.02,271.083321,-395841.9428,190477.6943,0
147,1.443555164,2.92E-05,3.39E-21,33.41267991,0.859651632,-0.107602058,0,0,99.95231474,39.2258355,3.85E-05,5.98E-05,73841,1379.21,113.54,31596.84,17.28818448,-421773.0665,178201.8714,0
148,3.609017247,2.75E-05,0,35.34332085,0.218776967,-0.109989909,2337,16.21975636,63.32437186,41.1358562,3.97E-05,7.73E-05,66088,38.94,2778.36,24646.79,903.3823717,-413669.3102,178447.6139,0
149,0.680188425,2.65E-05,0,34.01689768,0.71476129,-0.025016216,1194,8.287193664,94.13668984,41.24162877,3.34E-05,5.66E-05,85722,73.75,1991.8,35157.22,868.2852727,-423569.4298,174268.0533,0
150,27.79870313,2.91E-05,0,35.31416106,0.280886972,-0.011776498,2622,18.19930078,70.35397127,40.2022693,6.13E-05,6.86E-05,48055,446.32,2537.02,10261.93,113.6371832,-396615.1329,183081.3382,91
151,0.242932137,2.21E-05,0,38.41552091,0.349047515,-0.179234343,2547,17.67851868,99.99780866,44.81056797,4.50E-05,6.20E-05,38960,87.81,1523.9,3803.55,209.165344,-397830.6484,193904.1171,0
152,0.013881863,2.10E-05,0,37.30792403,0.701553329,-0.11564914,1436,9.967177861,76.66259016,41.47206666,6.48E-05,6.37E-05,30307,60.93,3226.68,16522.09,437.3283617,-398937.3251,177266.9883,0
153,11.29973537,3.02E-05,0,36.27892232,0.317242056,-0.103544434,3472,24.09869854,70.36653393,39.80588598,6.71E-05,6.84E-05,31477.67,139.29,4260.81,10185.74,427.8196307,-399937.9909,185059.8695,280
154,2.866632741,3.91E-05,1.36E-20,38.43096089,0.524426627,-0.086044906,1327,9.210706168,99.99897797,43.00643212,6.00E-05,6.24E-05,47581,860.24,3363.9,1665.73,1042.256088,-395719.1135,193236.2097,0
155,5.691021611,2.65E-05,0,35.75462437,0.479521914,-0.110279325,1965,13.63763106,78.01557797,40.08700101,4.04E-05,6.66E-05,69796,12.71,2284.13,29911.87,851.0872142,-418569.9014,176232.8444,3
156,10.59172653,2.82E-05,0,36.97212911,0.166392393,-0.103410828,2325,16.13746015,77.38345942,35.06513921,4.96E-05,5.66E-05,36204,1096.1,984.02,22272.74,472.5732434,-401795.0138,172222.6841,16
157,0,3.02E-05,0,38.98471093,0.412128908,-0.202989928,138,0.957858558,98.60390348,39.93853728,6.34E-05,6.28E-05,41242,305.17,5032.12,3404.02,271.083321,-395841.9428,190477.6943,0
158,1.443555164,2.92E-05,3.39E-21,33.41267991,0.859651632,-0.107602058,0,0,99.95231474,39.2258355,3.85E-05,5.98E-05,73841,1379.21,113.54,31596.84,17.28818448,-421773.0665,178201.8714,0
159,0.589954967,2.16E-05,0,37.54495549,0.420208933,-0.177886248,498,3.456442042,98.00193099,39.92259965,5.17E-05,6.17E-05,23621,408.59,2374.38,21525.84,1289.392026,-406994.9613,176172.4041,0
160,0,2.42E-05,0,36.26480675,0.620978083,-0.168188304,0,0,99.99994627,37.8886526,5.51E-05,6.75E-05,52476,323.59,2712.18,21854.53,2002.648369,-408716.3887,177167.11,0
161,5.260807463,2.75E-05,0,38.03354239,0.445144715,-0.165012267,2677,18.57939522,77.90575696,36.76318883,4.08E-05,7.26E-05,83222,458.59,3335.1,25086.16,567.9706573,-414802.733,179270.1824,0
162,20.86485129,2.91E-05,0,35.66002131,0.131427541,-0.071265993,2668,18.5187702,67.32836243,35.21898051,6.35E-05,6.57E-05,27816,434.24,885.81,9290.94,241.5201842,-394767.3636,183520.4028,134
163,18.62267749,2.91E-05,0,35.6423521,0.672545763,-0.079906822,324,2.248880919,91.10744117,38.84178278,6.42E-05,6.16E-05,35038,486.28,1742.2,15688.4,0,-397339.262,177607.6022,62
164,8.280368551,3.16E-05,6.78E-21,36.77537417,0.218434368,-0.117971323,2219,15.40162432,68.41541728,36.15460166,6.19E-05,6.84E-05,38918,113.16,2865.22,11822.4,278.1781841,-402025.1335,184642.0894,45
165,8.939862559,2.21E-05,0,37.3167181,0.716770688,-0.108095157,4331,30.06098194,97.63051766,35.27358814,5.12E-05,6.15E-05,34865.21,793.45,1327.93,4652.56,464.3466152,-398710.4022,193500.1016,0
166,13.81895289,2.10E-05,2.92E-08,35.08487415,0.5060198,-0.061556116,1763,12.23647109,56.41408794,29.72011867,5.88E-05,5.50E-05,32239,985.67,171.85,22850.57,84.71663057,-405421.214,173505.6082,128
167,23.21767366,2.91E-05,0,35.30712867,0.241557172,-0.040588448,3537,24.5503473,74.21326359,36.46805901,6.13E-05,6.82E-05,42186,791.49,2415.8,9620.05,120.0985614,-396323.0924,183657.5335,112
168,5.580455422,3.02E-05,0,37.29666543,0.171059434,-0.059258639,2173,15.08249954,98.74074481,31.42129564,6.77E-05,6.93E-05,25603,38.75,4860.07,11293.69,155.1490315,-400163.1343,183875.8134,0
169,1.721409301,3.96E-05,0,35.19506788,1.025955816,-0.200874681,0,0,99.98750395,34.75442085,5.28E-05,5.61E-05,38802,2562.95,995.44,438.18,535.4114803,-391432.7404,192617.5311,0
170,0.818952335,2.65E-05,0,35.90065479,0.789841385,-0.246938542,28,0.194327673,98.03137055,33.44518051,4.05E-05,6.17E-05,94151,97.8,404.12,31092.46,339.5259604,-418619.4942,174311.1834,0
171,16.44259128,3.17E-05,0,34.86859107,0.181536535,-0.026949857,2322,16.11637693,62.05013339,31.44151054,5.96E-05,6.82E-05,37474.5,508.75,1214.51,12736.12,134.2589905,-403788.5347,185158.9482,226
172,6.503594606,2.21E-05,0,36.14213538,0.590424964,-0.095675759,3067,21.28764638,70.03337201,34.35730342,4.35E-05,5.97E-05,29574.42,953.46,729.68,5124.14,0,-399157.3568,193900.7806,175
173,3.768870686,2.82E-05,0,37.08616376,0.122378651,-0.166773234,2788,19.35103402,94.67986193,29.27642091,4.96E-05,5.66E-05,36097.47,777.42,714.37,22728.28,208.4552764,-402185.7386,171896.0518,210
174,5.434612293,2.23E-05,6.78E-21,38.00585508,0.671795555,-0.10333366,1224,8.495485883,96.33769939,32.18428761,6.54E-05,6.55E-05,59971,231.72,5942.61,16111.17,435.1922314,-403492.6286,180317.2417,0
175,10.68134492,2.75E-05,0,35.74543858,0.667806057,-0.067817475,1510,10.48007202,64.99032739,31.21118136,4.27E-05,7.76E-05,52476,685.15,2983.3,23949.09,1300.695072,-412820.9308,178492.9677,0
176,23.35613004,2.97E-05,2.41E-07,34.94338131,0.143664784,-0.062910545,3895,27.03480728,69.15913216,29.13095922,5.92E-05,6.65E-05,50895,469.68,4876.34,11793.29,149.2556178,-399300.6617,182716.2227,73
177,2.05430383,2.65E-05,0,34.88989234,0.560113592,-0.022214499,1290,8.952878178,44.33409752,29.71106316,4.05E-05,6.37E-05,78071,198.41,2525.06,31461.34,413.2774995,-420386.4645,176152.925,18
178,15.40844136,2.10E-05,0,36.45909357,0.362228746,-0.077279096,43,0.298451792,74.95998497,29.30380153,5.92E-05,6.18E-05,65187,2135.63,4207.31,18965.72,485.3412276,-404235.1612,177373.2566,3
179,0,3.96E-05,0,39.45924067,0.951191663,-0.215980976,0,0,100.0087387,94.63625369,5.45E-05,5.53E-05,38802,2440.68,802.56,397.03,1273.330523,-390588.4349,193988.0311,0
180,0,2.78E-05,6.78E-21,39.17240024,0.326150073,-0.218377881,0,0,90.93543669,90.93543669,5.84E-05,6.81E-05,52476,327.47,3676.32,21247.86,2395.628939,-408871.2721,178143.8371,0
181,1.068895259,2.24E-05,1.36E-06,42.3040626,1.655989942,-0.186069266,0,0,99.96947027,89.27357679,6.00E-05,5.89E-05,39102,1142.64,2724.64,19923.53,677.6069656,-400647.6779,174288.1157,0
182,0.353947721,2.65E-05,0,35.46277285,1.18010006,-0.229676264,0,0,98.98043912,94.21949527,3.32E-05,5.89E-05,85722,496.46,1690.86,34498.16,640.030983,-422731.5474,174193.8217,0
183,0,3.17E-05,0,40.35418916,1.723683567,-0.220823279,0,0,99.98701502,93.01860164,5.47E-05,6.61E-05,76204,244.86,2615.38,16392.26,583.7610892,-406315.7056,182492.7193,0
184,0.124939228,3.02E-05,0,31.84907007,0.284159818,0.07483368,0,0,99.97914689,91.21951877,6.97E-05,6.43E-05,NA,156.06,2221.82,5762.29,118.7121601,-394451.2675,187104.2996,0
185,0,3.95E-05,2.03E-20,39.34067416,0.653375433,-0.201385914,0,0,99.95266044,89.94351208,5.47E-05,6.11E-05,37647,443.64,2572.17,205.75,808.7472991,-391345.4406,196342.5606,0
186,0,3.02E-05,6.78E-21,43.60169148,1.060575888,-0.234352247,0,0,100.0378047,93.79802215,6.37E-05,6.79E-05,33083,230.3,2694.44,11013.64,225.8055466,-401711.9338,185457.2025,0
187,0.090228624,2.10E-05,1.36E-20,41.68961835,1.164625521,-0.198021155,0,0,100.0149594,95.05932573,6.78E-05,6.73E-05,76204,440.67,4572.81,19453,1904.459312,-406326.1877,178280.1567,0
188,0,3.10E-05,0,39.3256402,0.949462704,-0.150927928,0,0,99.986357,99.986357,6.43E-05,6.47E-05,NA,386.79,1809.02,5547.1,246.3313405,-393962.0762,187181.5787,0
189,0,2.75E-05,1.69E-20,41.59612823,0.731336849,-0.225309061,0,0,99.67700974,98.51789403,4.94E-05,5.53E-05,35030,268.53,743.69,22549.84,225.9534202,-402632.8938,172296.596,0
190,0.583030448,2.10E-05,0,42.1798594,1.272151387,-0.204915494,0,0,99.99666261,93.24322659,5.59E-05,5.99E-05,41280,752.05,2661.42,20612.96,231.1061837,-401756.5447,174024.8112,0
191,0.3886947,3.01E-05,6.78E-21,39.31349349,0.496583218,-0.164534322,595,4.129881184,99.82512804,64.96754266,7.13E-05,6.76E-05,29683,1135.78,3504.94,8644.58,138.1086819,-397044.8408,185045.4659,0
192,0,3.96E-05,0,38.89290357,0.864012511,-0.212829925,0,0,99.98111024,65.63603016,5.45E-05,5.53E-05,38802,2708.45,536.73,488.69,1390.617456,-390359.6712,193847.467,0
193,0.270691012,3.17E-05,0,39.53516078,1.566566954,-0.230316819,0,0,99.87110167,66.6455152,7.01E-05,6.82E-05,90875,145.11,3337.06,12500.44,17.49596593,-402098.9924,183805.8629,0
194,2.901345409,3.95E-05,6.78E-21,36.63166857,0.341720762,-0.151108056,0,0,98.59715677,65.53708935,5.93E-05,6.20E-05,47581,928.88,3307.79,1176.21,547.9754408,-395187.7952,193791.402,0
195,3.775830487,2.21E-05,0,38.56632185,1.803140146,-0.113642875,0,0,84.89371817,66.86135125,4.34E-05,6.04E-05,23885,684.51,234.53,5273.23,114.9215223,-399224.2517,194508.748,126
196,1.055023655,2.11E-05,6.78E-21,39.03560376,0.499642152,-0.161971041,0,0,96.25008567,66.74412806,6.36E-05,5.85E-05,30262.21,36.16,2872.11,17006.59,183.3112229,-398630.9677,176638.0995,0
197,0,2.23E-05,6.78E-21,39.66506076,0.326324274,-0.180862033,0,0,99.11902061,65.65134206,5.52E-05,6.70E-05,23621,192.4,3271.5,20925.61,2569.221397,-407607.5161,177430.2873,0
198,0.333145744,2.92E-05,6.78E-21,39.85454822,0.422104764,-0.193785289,0,0,96.27217951,69.19714726,5.15E-05,6.75E-05,84543,346.32,861.31,19323.37,206.7236883,-409730.0527,182072.0765,0
199,6.912325047,2.08E-05,2.37E-06,33.6702888,0.549397301,-0.181703012,0,0,100.0135705,68.88728757,3.11E-05,5.48E-05,85915.56,180.47,1518.79,37031.86,738.9918127,-425111.7435,173200.9725,0
200,0.416469714,3.93E-05,2.03E-20,37.44481301,0.446776754,-0.162273101,0,0,100.0013195,65.29551001,6.25E-05,6.09E-05,38773,212.63,596.36,4423.72,538.318245,-391952.6699,188088.0788,0
201,2.2904567,3.17E-05,0,39.42828131,0.934884462,-0.17204259,730,5.066767851,99.93331988,68.91498355,6.64E-05,7.00E-05,NA,88.76,2901.75,12686.12,357.7727581,-402567.1316,183967.5759,0
202,3.033191076,3.02E-05,0,39.68689156,0.668513454,-0.166699541,2139,14.84667211,94.34126569,62.80857219,5.61E-05,6.75E-05,33633,1361.26,3586.37,3888.8,242.1158278,-397443.3238,191461.7684,0
203,8.536864534,2.92E-05,6.78E-21,38.93695855,0.436319335,-0.149364899,0,0,81.59299143,61.20168412,5.15E-05,6.75E-05,84543,216.29,1449.74,19713.11,461.1863088,-409673.7671,181344.7653,0
204,0.020822256,3.17E-05,0,38.65562153,0.366109799,-0.18422873,1595,11.07049948,100.009296,61.45341845,6.02E-05,6.86E-05,36187,502.63,1650.45,12320.52,103.4768788,-403190.1826,185106.1176,0
205,0,2.44E-05,3.39E-21,40.97002864,0.700684154,-0.213586951,0,0,99.96246421,64.66118015,5.38E-05,6.46E-05,32262,116.15,1690.4,5255.7,292.2482358,-399185.4096,192217.5133,0
206,3.387230065,2.91E-05,0,38.46388674,0.418619319,-0.201919566,2022,14.03479343,95.83501129,61.94882855,7.20E-05,6.76E-05,48209,198.2,946.62,13411.58,212.2180668,-395723.9533,179511.6547,3
207,0.09022165,2.65E-05,0,36.1603303,0.523003674,-0.128886859,0,0,99.99334826,63.14127446,3.34E-05,5.66E-05,85722,203.41,1298.99,35604.6,266.5064813,-423632.9752,173551.4286,0
208,4.386663212,2.82E-05,0,39.83646274,0.706008472,-0.180397181,10,0.069409228,87.95537378,59.66417243,6.48E-05,5.78E-05,42456,663.78,1259.05,20409.89,125.7692896,-399524.5333,173346.4923,0
209,4.705505775,2.49E-05,0,38.82730985,0.902607794,-0.159870339,0,0,88.27334506,61.34508192,3.79E-05,6.84E-05,37567,361.5,519.29,26975.02,496.6349688,-418026.9459,181000.1906,0
210,0.013882035,3.95E-05,1.36E-20,38.40594697,0.505896545,-0.17558923,681,4.726832993,99.06914436,62.73985818,5.93E-05,6.20E-05,47581,1000.43,3460.07,1160.33,786.7554923,-395208.8805,193552.4413,0
211,0.749619659,3.02E-05,0,40.2317028,0.540038055,-0.211545991,1136,7.884888266,99.96316973,78.84888266,7.11E-05,6.76E-05,34861,222.87,4634.19,10558.77,121.8764205,-398607.3973,183738.5744,0
212,2.380685334,3.17E-05,6.78E-21,38.32053399,0.7068931,-0.190072481,328,2.27657373,100.0026656,79.44409425,6.36E-05,6.88E-05,38918,832.8,2116.1,11829.98,294.7230574,-402581.2778,185172.7562,0
213,0.478916652,2.10E-05,0,37.6957233,0.636686098,-0.210600626,0,0,100.0033496,75.30096754,6.74E-05,6.77E-05,29893,182.78,6105.36,14721.95,235.6506386,-401644.6805,180756.07,2
214,0,3.10E-05,0,40.14209294,0.875803965,-0.195200995,0,0,100.0142554,75.12348434,6.43E-05,6.47E-05,NA,120.36,1540.9,5624.3,97.12055137,-393733.2851,187041.0194,0
215,0.256818165,3.43E-05,2.03E-20,40.64170647,0.390231238,-0.225270294,0,0,100.0063818,76.33052333,6.33E-05,6.08E-05,39660,402.16,4246.47,2434.07,379.9793792,-395060.7557,191131.2354,0
216,0.055527167,2.21E-05,4.69E-09,37.8415091,0.50937526,-0.1777124,31,0.215167773,99.96278262,78.39047819,5.10E-05,6.29E-05,38684,644.99,1581.22,4422.25,517.6267288,-398481.648,193359.5044,0
217,0,3.17E-05,0,39.3082242,0.867287092,-0.204376994,0,0,100.0003012,75.62488074,5.50E-05,6.95E-05,76204,653.63,3303.4,18617.67,496.2265306,-407681.4526,180687.1585,0
218,0.256807668,3.17E-05,1.36E-20,36.62752557,0.099138475,-0.175267536,8,0.055525982,100.0022939,77.80578252,6.76E-05,6.63E-05,59971,85.43,5419.83,15828.58,586.9732443,-403689.7793,180816.1845,0
219,0,2.11E-05,6.78E-21,37.16498995,1.167654154,-0.182081419,0,0,99.98386321,79.54287208,5.74E-05,5.96E-05,36328,594.27,3052.11,18153.07,7.363545544,-399553.1074,175756.4187,0
220,0.458064275,2.75E-05,0,38.05200934,0.394731351,-0.217445444,0,0,97.50522729,78.30122957,3.80E-05,7.25E-05,66088,233.89,2633.71,26133.77,401.3315281,-415267.5433,178107.4599,0
221,3.678698506,2.46E-05,3.39E-21,38.82342315,1.075829984,-0.104385852,681,4.726780533,92.90448963,74.69146155,5.37E-05,6.66E-05,45953.4,84,2266.65,3215.15,269.3691889,-397274.5827,193373.4134,0
222,1.131280568,2.75E-05,0,37.88772273,0.712509351,-0.204780945,265,1.839198469,78.87038267,74.84496715,4.28E-05,7.23E-05,68640,694.28,2921.03,24973.99,36.4666387,-414999.8025,179769.1628,0
223,0.701026034,3.02E-05,0,34.52543569,0.123957851,-0.193431654,0,0,99.04595543,73.06634708,6.77E-05,6.93E-05,NA,467.79,4432.63,11256.88,0,-400501.0549,184146.4113,0
224,2.415200096,2.65E-05,0,35.89658499,0.682438978,-0.150317734,0,0,79.47951581,71.14429939,4.05E-05,6.42E-05,69796,108.48,2465.95,31160.63,426.6171958,-419918.2744,175991.0848,2
225,3.137267065,2.12E-05,1.02E-20,35.22078943,0.4703552,-0.098655346,766,5.316695956,87.87124126,70.25534787,6.42E-05,6.70E-05,25907,320.68,5750.1,14262.67,366.212629,-400687.2481,180671.5934,252
226,0.395633623,2.91E-05,0,36.68994927,0.411783,-0.202686134,1840,12.77133098,95.14641577,74.08760154,6.23E-05,6.64E-05,34688,229.4,4093.04,10677.2,27.50526828,-398160.3377,183337.9774,6
227,0.333145744,2.92E-05,6.78E-21,39.85454822,0.422104764,-0.193785289,0,0,96.27217951,69.19714726,5.15E-05,6.75E-05,84543,346.32,861.31,19323.37,206.7236883,-409730.0527,182072.0765,0
228,0.652435978,2.10E-05,6.78E-21,40.5202899,0.718820371,-0.164901082,1281,8.891175408,91.18139839,71.30292347,5.04E-05,5.73E-05,38617,386.17,1302.64,21919.43,300.2610323,-402689.3151,173023.7776,0
229,0.027762161,2.25E-05,0,41.26122141,0.770565137,-0.297320545,0,0,100.0201248,71.88317486,4.94E-05,5.61E-05,49983,220.98,726.22,24471.28,420.2260689,-410233.6672,175014.013,0
230,0.097161437,2.65E-05,6.78E-21,34.4697876,0.304590706,-0.189818289,10,0.069401026,93.62198449,70.58084375,3.26E-05,5.51E-05,86211,610.73,2388.1,35679.54,153.9026608,-424386.1371,174581.1873,0
231,4.074340128,3.02E-05,0,37.02402043,0.41682271,-0.209317437,903,6.267681662,96.36820842,73.9766901,6.43E-05,6.54E-05,37809,372.14,5166.15,6248.24,40.1591555,-397379.6037,188084.877,5
232,0,2.66E-05,1.02E-20,37.6645081,0.422442447,-0.232620473,0,0,99.99605753,86.62901097,3.67E-05,7.39E-05,52307,177.28,2773.84,28269.3,209.804309,-417059.5409,176941.8232,0
233,0.013881634,2.10E-05,0,39.40699029,0.616564348,-0.205674304,347,2.408463467,99.61460427,86.71162563,6.01E-05,5.86E-05,37915,93.14,2570.13,20493.11,40.00142822,-402323.373,174435.9278,0
234,1.068895259,2.24E-05,1.36E-06,42.3040626,1.655989942,-0.186069266,0,0,99.96947027,89.27357679,6.00E-05,5.89E-05,39102,1142.64,2724.64,19923.53,677.6069656,-400647.6779,174288.1157,0
235,0,2.21E-05,0,37.87245941,0.885323197,-0.198779774,0,0,100.0041737,86.04606753,4.35E-05,5.97E-05,23885,616.63,742.48,4887.69,255.6060351,-398896.954,194118.6232,0
236,1.853201596,3.02E-05,6.78E-21,37.75997543,0.595865624,-0.194849965,6,0.04164498,99.42044819,87.94725628,6.12E-05,6.93E-05,38907,477.77,3788.11,11366.03,26.54471705,-401078.3148,184438.1337,0
237,0,2.75E-05,0,38.22422934,0.818485811,-0.282129992,0,0,99.99670795,81.30631827,3.62E-05,7.30E-05,66088,186.61,2646.19,26394.12,314.863714,-415517.4952,178009.1913,0
238,2.380685334,3.17E-05,6.78E-21,38.32053399,0.7068931,-0.190072481,328,2.27657373,100.0026656,79.44409425,6.36E-05,6.88E-05,38918,832.8,2116.1,11829.98,294.7230574,-402581.2778,185172.7562,0
239,0.402571702,2.37E-05,0,40.09950542,0.347867974,-0.208460893,0,0,100.0182452,84.54699828,5.80E-05,5.80E-05,39102,1021.05,2679.34,19473.35,488.7710633,-400256.9749,174614.7705,0
240,0,2.91E-05,0,34.88720036,0.617042248,-0.215897415,274,1.901842626,90.23340928,84.37517871,7.04E-05,6.75E-05,46569.38,88.31,1153.91,11945.89,343.5015802,-395946.0189,181096.1861,0
241,0.152689963,2.75E-05,0,39.30831146,0.809250356,-0.232955722,0,0,96.47923515,84.73598892,4.59E-05,7.81E-05,52476,188.48,2498.47,22880.68,532.4961298,-412465.2872,179785.7501,0
242,0.027763442,3.02E-05,0,37.67332172,1.483057493,-0.189156659,0,0,99.04608054,81.82580543,6.19E-05,6.39E-05,47867,796.11,2012.66,6419.43,734.3160823,-399713.1782,190337.5849,0
243,0.728774955,2.10E-05,0,38.88229752,0.809894577,-0.201742178,0,0,82.72636843,82.72636843,6.23E-05,5.44E-05,23621,495.08,1124.13,21949.14,245.778491,-405217.1024,174450.5589,0
244,1.36044939,3.96E-05,0,36.86045027,0.62119196,-0.122163417,0,0,99.99997127,80.02357665,6.23E-05,6.34E-05,38802,296.11,3811.99,277.7,744.6468556,-393818.9448,194272.7556,0
245,0.423340677,2.25E-05,3.39E-21,31.85077322,0.874809761,-0.174235621,0,0,93.99551037,80.25428839,2.75E-05,5.58E-05,70925,217.88,488.32,38800.03,859.3248011,-427692.167,174031.6284,0
