fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean,Income,road distance (meters),river distance (meters),petrochem_distance,Distance_M,Lat,Long,Households
30,9.640978976,3.02E-05,0,32.87050343,0.703489061,0.249944972,1049,7.281056117,22.99536598,0,5.82E-05,6.68E-05,38779.17,728.08,4168.85,4335.5,0,-397288.3746,190484.8593,0
31,54.81947858,2.91E-05,0,28.60582948,0.33426137,0.241877875,385,2.672258705,31.45630247,2.845781998,6.48E-05,6.51E-05,139132,1085.3,3769.67,12541.55,190.9093333,-398568.3685,181447.7704,0
32,42.73839071,2.65E-05,0,29.55701184,0.183843176,0.171753965,1126,7.814782062,22.1812109,14.36642883,3.86E-05,6.14E-05,94151,688.44,379.57,30562.51,87.68154135,-417683.0747,173987.5503,18
33,4.546226532,2.21E-05,0,34.47739005,0.262316144,-0.023877451,6058,42.04738981,67.04122453,3.553691579,5.43E-05,6.44E-05,34176.29,5.34,249.46,7428.73,83.60472259,-401194.8666,191311.2078,38
34,0,3.95E-05,6.78E-21,42.34712911,0.707935623,-0.218516614,0,0,99.99937428,95.2031247,6.39E-05,6.09E-05,39660,164.94,4358.82,2275.93,254.3034159,-395159.329,191380.7367,0
35,0.027762975,2.23E-05,6.78E-21,40.53318334,0.787857238,-0.173784619,0,0,100.0161164,96.91360396,6.54E-05,6.55E-05,59971,466.98,5752.99,16298.63,752.178238,-403851.6702,180348.9362,0
36,44.38859049,2.39E-05,2.54E-06,26.50307226,0.458788023,0.421386935,0,0,1.138168987,1.138168987,3.05E-05,5.77E-05,86211,1110.19,1789.4,37108.81,672.4987077,-426072.5003,174610.2866,0
37,46.26907719,2.03E-05,1.30E-06,31.18462372,1.714412874,0.026892862,0,0,58.7958035,22.7563078,2.69E-05,5.48E-05,70925,121.7,280.36,38979.27,371.2328356,-427614.8611,173543.2627,0
38,20.723167,2.65E-05,0,31.26272154,1.471489497,0.017051148,343,2.380457563,73.09323339,44.59714373,3.33E-05,5.66E-05,86211,273.74,2184.28,35632.67,275.1604738,-424167.925,174321.0929,0
39,9.223301464,1.95E-05,0,32.81168699,0.334681495,-0.041778141,2463,17.09329684,56.87355568,24.01250795,2.76E-05,4.55E-05,40215,169.9,164.07,39359.16,176.9071576,-427143.5201,172056.9643,49
